Metabolite,Fragment,Sample01,Sample02,Sample03,Sample05,Sample06,Sample07,Sample09,Sample10,Sample11
Phosphoenolpyruvic_acid,Abundance,13758219.94,14613601.88,10292417.19,9240457,10201780.62,11207332,5551253.5,4065125.72,5439468
,Phosphoenolpyruvic_acid_PARENT,0.06,0.07,0.05,0.16,0.16,0.16,0.00,0.00,0.00
,Phosphoenolpyruvic_acid_C13-label-1,0.00,0.00,0.00,-0.01,-0.01,-0.01,0.00,0.00,0.00
,Phosphoenolpyruvic_acid_C13-label-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Phosphoenolpyruvic_acid_C13-label-3,0.94,0.93,0.95,0.84,0.84,0.85,1.00,1.00,1.00
L-Lactic_acid,Abundance,8830000236,7817946048,8243435448,2303095464,1954760020,2033995056,8816579904,7783360680,7104541512
,L-Lactic_acid_PARENT,0.06,0.06,0.06,0.24,0.29,0.29,0.07,0.05,0.07
,L-Lactic_acid_C13-label-1,0.00,0.00,0.00,0.02,0.01,0.01,0.00,0.00,0.00
,L-Lactic_acid_C13-label-2,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04
,L-Lactic_acid_C13-label-3,0.90,0.90,0.90,0.70,0.65,0.65,0.89,0.91,0.89
3-Phosphoglyceric_acid,Abundance,47898547.52,53418136.37,39688819.7,37103665,44464608.09,45631468.36,26387118.28,28912806.53,27046333.81
,3-Phosphoglyceric_acid_PARENT,0.07,0.08,0.07,0.17,0.17,0.16,0.02,0.01,0.01
,3-Phosphoglyceric_acid_C13-label-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,3-Phosphoglyceric_acid_C13-label-2,0.03,0.03,0.04,0.03,0.03,0.04,0.03,0.04,0.03
,3-Phosphoglyceric_acid_C13-label-3,0.89,0.89,0.90,0.80,0.80,0.81,0.95,0.95,0.96
Dihydroxyacetone_phosphate,Abundance,587094897.10,582726313.60,760563526.60,38228619.46,45758034.79,51179699.55,111408959.00,90442872.13,113591635.00
,Dihydroxyacetone_phosphate_PARENT,0.06,0.07,0.06,0.17,0.17,0.17,0.02,0.02,0.02
,Dihydroxyacetone_phosphate_C13-label-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Dihydroxyacetone_phosphate_C13-label-2,0.04,0.04,0.04,0.03,0.04,0.03,0.04,0.04,0.04
,Dihydroxyacetone_phosphate_C13-label-3,0.90,0.90,0.91,0.80,0.79,0.80,0.94,0.94,0.94
"Fructose 1,6-bisphosphate",Abundance,1432014618.00,1620023458.00,1764822908.00,58012875.71,49741233.76,46834452.30,798737817.60,757331487.60,950452918.30
,"Fructose 1,6-bisphosphate_PARENT",0.01,0.01,0.01,0.39,0.19,0.15,0.01,0.01,0.01
,"Fructose 1,6-bisphosphate_C13-label-1",0.00,0.00,0.00,-0.01,-0.01,-0.01,0.00,0.00,0.00
,"Fructose 1,6-bisphosphate_C13-label-2",0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00
,"Fructose 1,6-bisphosphate_C13-label-3",0.03,0.03,0.03,0.01,0.02,0.03,0.00,0.00,0.00
,"Fructose 1,6-bisphosphate_C13-label-4",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,"Fructose 1,6-bisphosphate_C13-label-5",0.08,0.08,0.08,0.04,0.06,0.06,0.08,0.08,0.08
,"Fructose 1,6-bisphosphate_C13-label-6",0.88,0.88,0.88,0.58,0.75,0.77,0.91,0.91,0.91
Hexose,Abundance,3066444984.00,2785774511.00,3017741656.00,3700560476.00,3026826417.00,3178962373.00,3097191445.00,2746543594.00,2612879295.00
,Hexose_PARENT,0.33,0.38,0.38,0.20,0.27,0.29,0.18,0.19,0.23
,Hexose_C13-label-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Hexose_C13-label-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Hexose_C13-label-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Hexose_C13-label-4,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00
,Hexose_C13-label-5,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.06
,Hexose_C13-label-6,0.62,0.57,0.57,0.74,0.67,0.65,0.75,0.75,0.71
Hexose-phosphate,Abundance,912989140.00,998200736.00,1090547199.00,396473571.00,434477722.50,476349605.00,511877177.30,483705112.00,557051558.50
,Hexose-phosphate_PARENT,0.18,0.18,0.18,0.34,0.34,0.36,0.17,0.15,0.17
,Hexose-phosphate_C13-label-1,0.00,0.00,0.00,-0.01,0.00,-0.01,0.00,0.00,0.00
,Hexose-phosphate_C13-label-2,0.00,0.00,0.00,-0.01,-0.01,-0.01,0.00,0.00,0.00
,Hexose-phosphate_C13-label-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Hexose-phosphate_C13-label-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Hexose-phosphate_C13-label-5,0.06,0.06,0.06,0.05,0.05,0.05,0.07,0.06,0.06
,Hexose-phosphate_C13-label-6,0.77,0.76,0.76,0.62,0.62,0.60,0.77,0.79,0.77
Pyruvic_acid,Abundance,573115645.30,456100631.00,570044865.00,683215433.00,505688129.00,506349068.00,143127944.50,119611909.60,115960887.90
,Pyruvic_acid_PARENT,0.07,0.08,0.08,0.18,0.20,0.20,0.12,0.13,0.12
,Pyruvic_acid_C13-label-1,0.00,0.00,0.00,0.02,0.02,0.02,0.00,0.00,0.00
,Pyruvic_acid_C13-label-2,0.04,0.04,0.04,0.05,0.05,0.05,0.03,0.03,0.03
,Pyruvic_acid_C13-label-3,0.89,0.88,0.88,0.75,0.74,0.73,0.84,0.83,0.84
Fumaric_acid,Abundance,49133204.50,39724744.25,44629593.00,116716553.30,124429078.40,124664962.60,28496243.88,25116138.31,27792885.12
,Fumaric_acid_PARENT,0.46,0.45,0.46,0.74,0.73,0.74,1.01,1.02,1.01
,Fumaric_acid_C13-label-1,0.04,0.04,0.04,0.03,0.04,0.04,-0.01,-0.02,-0.01
,Fumaric_acid_C13-label-2,0.21,0.20,0.20,0.16,0.16,0.16,0.00,0.00,0.00
,Fumaric_acid_C13-label-3,0.17,0.18,0.17,0.06,0.06,0.05,0.00,0.00,0.00
,Fumaric_acid_C13-label-4,0.12,0.13,0.13,0.01,0.01,0.01,0.00,0.00,0.00
Citric_acid,Abundance,1337600548.00,1347144476.00,1392041936.00,1351135623.00,1330329611.00,1390085367.00,0.00,0.00,0.00
,Citric_acid_PARENT,0.19,0.17,0.16,0.34,0.29,0.28,0.00,0.00,0.00
,Citric_acid_C13-label-1,0.01,0.02,0.02,0.04,0.05,0.05,0.00,0.00,0.00
,Citric_acid_C13-label-2,0.32,0.31,0.32,0.42,0.45,0.47,0.00,0.00,0.00
,Citric_acid_C13-label-3,0.07,0.08,0.08,0.05,0.05,0.05,0.00,0.00,0.00
,Citric_acid_C13-label-4,0.19,0.19,0.20,0.10,0.11,0.11,0.00,0.00,0.00
,Citric_acid_C13-label-5,0.14,0.15,0.15,0.04,0.04,0.04,0.00,0.00,0.00
,Citric_acid_C13-label-6,0.07,0.08,0.08,0.01,0.01,0.01,0.00,0.00,0.00
L-Malic_acid,Abundance,1525924976.00,1161871248.00,1248378904.00,4235351756.00,5051671472.00,5252724240.00,933879231.60,840964237.90,927251521.00
,L-Malic_acid_PARENT,0.42,0.41,0.41,0.70,0.70,0.70,0.99,0.98,0.99
,L-Malic_acid_C13-label-1,0.04,0.04,0.04,0.04,0.05,0.05,0.00,0.00,0.00
,L-Malic_acid_C13-label-2,0.22,0.21,0.21,0.18,0.18,0.18,0.00,0.00,0.00
,L-Malic_acid_C13-label-3,0.19,0.20,0.19,0.06,0.07,0.06,0.01,0.01,0.01
,L-Malic_acid_C13-label-4,0.13,0.14,0.14,0.01,0.01,0.01,0.01,0.01,0.01
Oxoglutaric_acid,Abundance,294834378.00,318666546.00,280601292.00,118725868.80,121139403.70,118054413.10,124548906.00,107540878.70,98911997.17
,Oxoglutaric_acid_PARENT,0.36,0.33,0.34,0.88,0.87,0.89,1.00,1.01,1.00
,Oxoglutaric_acid_C13-label-1,0.02,0.02,0.02,0.02,0.02,0.02,0.00,0.00,0.00
,Oxoglutaric_acid_C13-label-2,0.20,0.20,0.19,0.06,0.06,0.04,0.00,0.00,0.00
,Oxoglutaric_acid_C13-label-3,0.12,0.13,0.12,0.02,0.02,0.02,0.00,0.00,0.00
,Oxoglutaric_acid_C13-label-4,0.18,0.19,0.19,0.02,0.02,0.03,0.00,0.00,0.00
,Oxoglutaric_acid_C13-label-5,0.12,0.13,0.14,0.00,0.01,0.00,0.00,0.00,0.00
Glycine,Abundance,289071936.50,265285369.00,268224757.00,149566241.80,156786572.80,160907746.00,110524712.10,88095916.69,94061635.12
,Glycine_PARENT,0.87,0.85,0.85,0.80,0.75,0.78,1.00,1.00,1.00
,Glycine_C13-label-1,0.00,0.00,0.00,0.01,0.00,0.00,0.00,-0.01,0.00
,Glycine_C13-label-2,0.12,0.15,0.15,0.20,0.24,0.21,0.01,0.00,0.00
L-Alanine,Abundance,122173042.40,127419543.10,121968515.80,98035076.50,116132542.00,113690040.00,68350589.81,61068534.69,69370616.75
,L-Alanine_PARENT,0.36,0.39,0.40,0.46,0.47,0.48,0.44,0.45,0.45
,L-Alanine_C13-label-1,0.00,0.00,0.00,0.02,0.02,0.02,-0.01,0.00,-0.01
,L-Alanine_C13-label-2,0.02,0.02,0.02,0.03,0.03,0.04,0.02,0.01,0.02
,L-Alanine_C13-label-3,0.61,0.59,0.58,0.49,0.48,0.47,0.54,0.54,0.54
L-Serine,Abundance,125414572.00,127233446.00,142251069.00,107494933.00,109417761.00,114281339.00,183839325.40,193466479.10,196851600.60
,L-Serine_PARENT,0.51,0.51,0.51,0.53,0.45,0.50,0.97,0.98,0.98
,L-Serine_C13-label-1,0.21,0.22,0.22,0.10,0.13,0.12,0.01,0.01,0.01
,L-Serine_C13-label-2,0.09,0.08,0.08,0.07,0.08,0.07,0.01,0.01,0.01
,L-Serine_C13-label-3,0.19,0.18,0.18,0.30,0.34,0.31,0.01,0.00,0.00
Glycerol_3-phosphate,Abundance,1010111580.00,1220229318.00,1050465513.00,257170662.80,295898459.00,296885353.50,10017175896.00,10966121776.00,11453735312.00
,Glycerol_3-phosphate_PARENT,0.42,0.40,0.39,0.60,0.60,0.60,0.40,0.42,0.42
,Glycerol_3-phosphate_C13-label-1,0.00,0.00,0.00,-0.01,-0.01,0.00,0.00,0.00,0.00
,Glycerol_3-phosphate_C13-label-2,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.02
,Glycerol_3-phosphate_C13-label-3,0.57,0.58,0.59,0.40,0.40,0.39,0.58,0.56,0.56
Acetyl-CoA,Abundance,22728434.02,26697567.59,28748619.33,12606072.99,15285454.03,15251397.80,3294576.54,3053618.58,3430341.92
,Acetyl-CoA_PARENT,0.00,0.00,0.00,0.06,0.01,0.00,0.79,0.80,0.86
,Acetyl-CoA_C13-label-1,0.00,0.00,0.00,-0.02,0.00,0.00,-0.17,-0.19,-0.19
,Acetyl-CoA_C13-label-2,0.01,0.01,0.01,0.01,0.02,0.02,-0.05,-0.03,-0.04
,Acetyl-CoA_C13-label-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Acetyl-CoA_C13-label-4,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00
,Acetyl-CoA_C13-label-5,0.12,0.15,0.14,0.16,0.16,0.18,0.56,0.56,0.47
,Acetyl-CoA_C13-label-6,0.11,0.10,0.11,0.19,0.16,0.17,-0.10,-0.12,-0.07
,Acetyl-CoA_C13-label-7,0.49,0.45,0.46,0.41,0.37,0.41,-0.04,-0.03,-0.04
,Acetyl-CoA_C13-label-8,0.26,0.26,0.25,0.16,0.25,0.19,0.01,0.01,0.00
,Acetyl-CoA_C13-label-9,0.03,0.02,0.03,0.05,0.05,0.03,0.00,0.00,0.00
,Acetyl-CoA_C13-label-10,-0.02,0.00,-0.01,-0.02,-0.02,-0.01,0.00,0.00,0.00
,Acetyl-CoA_C13-label-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Acetyl-CoA_C13-label-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Acetyl-CoA_C13-label-13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Acetyl-CoA_C13-label-14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Acetyl-CoA_C13-label-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Acetyl-CoA_C13-label-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Acetyl-CoA_C13-label-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Acetyl-CoA_C13-label-18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Acetyl-CoA_C13-label-19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Acetyl-CoA_C13-label-20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Acetyl-CoA_C13-label-21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Acetyl-CoA_C13-label-22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Acetyl-CoA_C13-label-23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Coenzyme_A,Abundance,2632254.23,3826760.46,5077906.30,1926016.91,1639335.21,1523998.37,626995.64,407758.12,539282.55
,Coenzyme_A_PARENT,0.05,0.02,0.01,0.49,0.12,0.06,1.14,1.11,1.04
,Coenzyme_A_C13-label-1,-0.01,-0.01,0.00,-0.11,-0.01,-0.01,-0.29,-0.28,-0.18
,Coenzyme_A_C13-label-2,0.00,0.00,0.00,-0.03,-0.01,0.00,-0.06,-0.06,-0.07
,Coenzyme_A_C13-label-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Coenzyme_A_C13-label-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Coenzyme_A_C13-label-5,0.68,0.70,0.65,0.43,0.58,0.75,0.27,0.30,0.29
,Coenzyme_A_C13-label-6,0.34,0.35,0.37,0.30,0.39,0.29,-0.05,-0.06,-0.06
,Coenzyme_A_C13-label-7,0.00,-0.03,0.00,-0.08,-0.09,-0.05,-0.02,-0.02,-0.02
,Coenzyme_A_C13-label-8,-0.04,-0.03,-0.03,-0.02,0.01,-0.03,0.00,0.00,0.00
,Coenzyme_A_C13-label-9,0.00,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00
,Coenzyme_A_C13-label-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Coenzyme_A_C13-label-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Coenzyme_A_C13-label-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Coenzyme_A_C13-label-13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Coenzyme_A_C13-label-14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Coenzyme_A_C13-label-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Coenzyme_A_C13-label-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
