Sample,Cohort,datatype,(2 and/or 3-)Phosphoglyceric_acid,Glycerol_3-phosphate,Hexose bisphosphate,Hexose/inositol,Hexose/inositol-phosphate,L-Lactic_acid,Pyruvic_acid,Aconitic acid (cis and/or trans),Citric_acid,Oxoglutaric_acid,Glycine,L-Alanine,L-Arginine,L-Asparagine,L-Aspartic_acid,L-Glutamic_acid,L-Glutamine,L-Methionine,L-Phenylalanine,L-Proline,L-Serine,L-Threonine,L-Tryptophan,L-Tyrosine,L-Valine,Palmitic_acid,ADP,AMP,ATP,CDP,CMP,CTP,DATP,GDP,GMP,GTP,TTP,UDP,UMP,UTP,Glutathione,NAD,NADH,NADP,NADPH,Oxidized_glutathione,Acetyl-CoA
Sample01,1,FracCont,0.85895,0.03425,0.34496,0.37646,0.3128,0.7696,0.75495,0.0999,0.1449,0.096,0.1498,0.02335,-0.00026,-6.66666666666667e-05,0.0487666666666667,0.168425,0.0233,0.000275,0.0254375,0.000825,0.22525,0.000233333333333333,0.03098,0.0011375,-1e-04,0.00148571428571429,0.2994,0.2702,0.305033333333333,0.2501,0.1639875,0.2693375,0.112811111111111,0.298477777777778,0.268622222222222,0.317333333333333,0.145211111111111,0.3987875,0.3683375,0.3999125,0.0876,0.125268421052632,0.115289473684211,0.0644052631578947,0,0.0966277777777778,0.105228571428571
Sample02,1,FracCont,0.99455,0.01275,0.1381,0.69852,0.70336,0.77655,0.71245,0.0148,0.04734,0.0315,0.0153,-0.00135,-0.00034,-1e-04,0.00466666666666667,0.023275,0.00125,2.5e-05,0.0212125,4e-04,0.0188,0.000333333333333333,0.02778,0.0009625,-7.5e-05,-0.000278571428571429,0.2122,0.1324,0.273866666666667,0.162375,0.057275,0.2009,0.284344444444444,0.0739666666666667,0.170255555555556,0.25,0.0183111111111111,0.35955,0.307425,0.383625,0.0516222222222222,0.0796,0.0928157894736842,0,0,0.0322833333333333,-0.0222095238095238
Sample03,1,FracCont,0.92045,0.1083,0.8083,0.04784,0.6161,0.80745,0.3109,0.10516,0.09804,0.120675,0.4922,0.1551,-0.00012,3e-04,0.265966666666667,0.325325,0.215,-5e-05,0.103125,0.0023,0.73145,-0.000166666666666667,0.09906,0.0061875,-0.00025,-0.000342857142857143,0.615655555555556,0.532355555555556,0.635988888888889,0.4563625,0.4299625,0.4902375,0.6467,0.567422222222222,0.595677777777778,0.573477777777778,0.534622222222222,0.5521,0.5405375,0.562775,0.220233333333333,0.362731578947368,0.360763157894737,0.317857894736842,0.327263157894737,0.235822222222222,0.402947619047619
Sample04,1,FracCont,0.97235,0.1042,0.79178,0.13564,0.67926,0.82745,0.35665,0.03096,0.11162,0.066875,0.4854,0.13035,-6e-05,0.000333333333333333,0.180033333333333,0.275175,0.10265,0.000175,0.156525,0.00365,0.452,-1e-04,0.11742,0.0086625,-0.000225,-0.000407142857142857,0.546266666666667,0.423088888888889,0.568722222222222,0.374375,0.326275,0.438725,0.568144444444444,0.435777777777778,0.419555555555556,0.496911111111111,0.468166666666667,0.510625,0.5108,0.52505,0.200055555555556,0.331315789473684,0.311678947368421,0.227810526315789,0.344547368421053,0.254711111111111,0.344652380952381
Sample01,1,Isotopologues,0.0021|0.0147|0.8516,0|0|0.0347,0|0.0358|5e-04|3e-04|0|0.3511,0|0|0|8e-04|0.0093|0.3686,0|0|6e-04|3e-04|0|0.3276,0.0021|0.0082|0.7655,0.0011|0.0109|0.7495,0|0.139|0.0248|0.0578|0.033|0.0011,0.0174|0.1737|0.0491|0.0857|0.038|0.0087,0.0191|0|0.0604|0.0527|0.0268,0|0.1498,0.4047|0.0175|0.0146,0|0|0|0|0|0,0|0|0|0,0.0169|0.0472|0.0326|0.0113,0.0334|0.183|0.0757|0.0735|0.0297,0.0019|0.0327|0.0108|0.0079|0.0038,0|0|0|2e-04|3e-04,0|0|0.0042|0|0.001|2e-04|0|0.026|0.0028,0.0019|0.0013|7e-04|2e-04|0,0.6751|0.0051|0.2227,0|7e-04|0|0,0|0|3e-04|0|0.048|0|0|0.0212|0|0|5e-04,0|6e-04|0.0015|0|4e-04|0|0|6e-04|0,2e-04|0|0|0|0,0|0|0|4e-04|0|9e-04|0|0.0011|1e-04|0.001|0|0|1e-04|0|1e-04,5e-04|0.0031|0.0165|0.0214|0.154|0.0691|0.0837|0.0727|0.0785|0,0|0|0.0139|0.0149|0.1496|0.0679|0.076|0.0597|0.0697|0,0.0019|0.0071|0.0176|0.0206|0.1562|0.0687|0.0868|0.0726|0.0797|7e-04,0|0|0.0056|0.0042|0.2855|0.0704|0.0682|0.0109|0,0|0|0.0045|0|0.271|0.0361|0.0114|0.0033|0,0.0031|0.0055|0.0194|0.0184|0.2588|0.0761|0.0752|0.0269|0,0|0|0.002|0|0.0567|0.0152|0.0593|0.025|0.0252|0,0|0|0.016|0.0079|0.1901|0.0482|0.078|0.0713|0.0847|0,0|0.0011|0.0044|5e-04|0.229|0.029|0.0729|0.0531|0.0678|0,0|0.0076|0.0158|0.0208|0.182|0.0666|0.0824|0.0735|0.0859|0,0.2077|0|0|0.0011|0.0412|0.1419|0.0371|0.0303|0.001|0.0032,0.002|0.0187|0.0272|0.0221|0.3743|0.1089|0.1198|0.0416|0,0|0.0167|0.0196|0.009|0.3871|0.0834|0.1099|0.0346|0,0.0069|0.021|0.0297|0.0247|0.3606|0.106|0.1209|0.0474|0.0019,0.0103|0.2868|0.0189|0.0768|0.0274|0.0176|0.0062|0|0|0,0|0.0071|0.0135|0.0101|0.2641|0.0028|0.0151|0.0102|0.0115|0.0481|0.0202|0.018|0.0145|0|0|0|0|0|0|0,0|0.0085|0.0071|0.0086|0.278|0|0.0104|0.0071|0.0152|0.0469|0.0168|0.0074|0.0124|0|0|0|0|0|0|0,0|0|0.0062|0|0.2929|0|0.0161|0|0.0022|0.0163|0.004|0|0.0039|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0.3178|0.0283|0.1471|0.0541|0.0687|0.0275|0.0179|0.0073|0.002|0|0|0|0|0|0|0|0|0,0|0.6991|0|0|0.0788|0|0.0947|0.034|0.0509|0|0.0228|2e-04|0|0|4e-04|0|0.0248|0|0|0|0|0
Sample02,1,Isotopologues,0|0|1.0097,0|9e-04|0.0123,0|0.3294|0|3e-04|0|0.0816,0|0|0|0.0011|0.018|0.6835,0|0|3e-04|0|0|0.7182,0.0012|0.0023|0.7754,0|0.0075|0.7087,0|0.0807|0|1e-04|0|0,0|0.0791|0|0.0502|0.0027|0,0|0|0.0527|0|0.0058,0|0.0153,0.7491|0|0.0074,0|0|0|0|0|0,0|0|0|0,0|0.0058|0.0029|8e-04,0.0052|0.0342|0.0092|0.0087|0.0036,0|0.0052|0|0|0,0|0|1e-04|0|1e-04,0|0|0.0038|0|9e-04|1e-04|0|0.0218|0.0022,0|0|8e-04|0|0,0.9339|0|0.0286,3e-04|0.001|0|0,0|0|3e-04|0|0.043|0|0|0.0189|0|0|0,0.0076|0|0.0013|0|5e-04|0|0|6e-04|0,8e-04|0|0|0|0,0|0|0|0|0|1e-04|0|1e-04|0|0|0|0|0|0|0,0|0|0.0064|0|0.1575|0.0184|0.0516|0.0464|0.0705|4e-04,0|0|4e-04|0|0.1149|0.0134|0.0276|0.0281|0.0404|0,0|0|0.0066|0.0099|0.1464|0.0487|0.067|0.0625|0.0952|0,0|0|7e-04|0|0.2829|0|0|0|0.0299,0|0|0|0.0276|0.1021|0|1e-04|0|0,0|0|5e-04|0|0.2914|0.0325|0.0482|0.0056|0,0|0|6e-04|0|0.001|0|0.4647|0|0.0059|0,0|0|0.002|0|0.1003|0|0.0112|0.0109|0.0227|0,0|0|0.0012|0|0.1388|0.0325|0.0623|0|0.0663|0,0|0|0.0028|0|0.1687|0.0277|0.0591|0.0603|0.0866|0,0.316|0|0|0.001|0|0.0549|0|0|0|0,0|0|0.001|0|0.5306|0.0791|0.0545|0.0154|0,0|0|7e-04|0|0.459|0.0436|0.0727|0.0022|0,0|0|0.0051|0.0126|0.4328|0.0939|0.1005|0.0314|0,0|0.2359|0|0.0554|0.0151|0.0019|0|0.001|0|0,0|0|0.002|0|0.4656|0|0.0043|0|0|0.0042|0|0|0|0|0|0|0|0|0|0,0|0.0043|0.0045|0|0|0.1477|0|0.0018|0|0|9e-04|0.1167|0|4e-04|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0.5242|0|0.0635|0.0193|0|3e-04|0|0|0|0|0|0|0|0|0|0|0|0,0.9908|0|0|0.0238|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Sample03,1,Isotopologues,8e-04|0.0207|0.9101,0|0.001|0.1078,0|0.0497|0|0|0|0.8182,0|0|0|0|0.0011|0.0471,0|0|3e-04|0|0|0.6219,0|0|0.8093,0|0.0016|0.3101,0|0.1341|0.02|0.0754|0.0265|0.0039,0|0.0881|0.0018|0.1278|0.0039|0,0|0|0.0581|0.0546|0.0514,0|0.4922,0.0136|0.1942|0.058,0|0|0|0|0|0,0|0|0|3e-04,0.0496|0.2021|0.1599|0.092,0.032|0.262|0.1237|0.1513|0.0845,0.012|0.1697|0.076|0.0953|0.0631,0|0|0|3e-04|0,0|0|0.0237|0|0.0048|6e-04|0|0.1026|0.0117,4e-04|0.0023|0.0013|9e-04|4e-04,0.1634|0.0317|0.7156,0|0|0|0,0.1523|0|0.001|0|0.1258|0|0|0.0854|0|0|0,0|0.0026|0.0098|0|0.0025|0|0|0.0029|0,0|0|0|0|0,0|0|0|0|0|0|0|0|0|1e-04|0|0|0|0|0,0|0|0.0021|0.0133|0.1156|0.0641|0.152|0.131|0.3643|0,0|0|0.0013|0.001|0.1322|0.0366|0.1358|0.1045|0.3205|0,0.0041|0.0016|0.0044|0.0106|0.0989|0.0617|0.1511|0.138|0.387|0.001,0|0|0.0035|0|0.4843|0.1012|0.1612|0.0386|0.0021,0|0|0|0|0.5287|0.1144|0.1343|0|0,0|0|0.004|0.0109|0.3891|0.128|0.1813|0.0853|1e-04,0|0|1e-04|0|0.0742|0.0409|0.1909|0.1461|0.3998|0,0|0|0.0017|0|0.1364|0.037|0.1104|0.1098|0.3745|0,0|0|2e-04|0|0.165|0.0349|0.1037|0.1152|0.3932|0,0|0|0.0017|0.0094|0.1294|0.0468|0.1349|0.1244|0.3401|0,0.1254|0|0|0.0037|0.0441|0.4203|0.1449|0.1794|0.051|0.0013,0|0|0.0019|0.0125|0.4828|0.1301|0.1874|0.097|0,0|0|0|0.0043|0.5651|0.0989|0.1668|0.0808|0,0.0013|0.0053|0.0091|0.0149|0.4215|0.142|0.2067|0.1086|0.0047,0.0104|0.3957|0.0368|0.2036|0.0791|0.0744|0.0363|0|0|0,0|9e-04|0.0014|3e-04|0.1812|0.0101|0.0127|0.0078|0.0245|0.0958|0.0578|0.1123|0.2623|0|0.0026|0|0|0|0|0,0|0.0011|4e-04|0|0.2532|0|0.0091|0|0|0.1161|0.0483|0.11|0.285|0|0.004|0|0|0|0|0,0|0|0.0139|0|0.3142|0|0.0017|6e-04|0|0.1355|0|0.1238|0.2331|0|6e-04|0|0|0|0|0,0|0|0.0013|0|0.2738|0|0.0038|0|0.0018|0.0847|0.0033|0.0906|0.3178|0|4e-04|0|0|0|0|0,0|0.0657|0.015|0.3661|0|0.3587|0.1201|0.0771|0.0014|0|1e-04|0|0|0|0|0|0|0|0,0|0.0186|0|0|3e-04|0|0.0199|0.0429|0.6279|0.0124|0.2883|0.0023|0|0|0|0|0|0|0|0|0|0
Sample04,1,Isotopologues,0|0|0.9757,0|0.0016|0.1034,0|0.0728|6e-04|4e-04|0|0.8037,0|0|0|1e-04|0.0031|0.1331,0|0|2e-04|0|0.0101|0.6732,0|0|0.8309,0|5e-04|0.3564,0|0.1221|0|0.0083|0.0035|0,0|0.038|0|0.1666|0.0076|0,0|0.0031|0.0651|0.0174|0.0205,0|0.4854,0.0791|0.1545|0.0531,0|0|0|0|0|0,0|0|0|4e-04,0.0383|0.1633|0.1116|0.0512,0.032|0.2687|0.1106|0.1284|0.0564,0.0035|0.0979|0.0381|0.0447|0.0256,0.0031|0|3e-04|5e-04|0,0|0|0.0338|0|0.0062|0.0015|0|0.1569|0.0174,0.0014|0.0044|0.0027|0.0012|3e-04,0.4651|0.0098|0.4471,0|0|0|0,0.2103|0|0.0018|0|0.1516|0.0015|0|0.0981|0|0|0,0.0464|0.0011|0.0159|0|0.003|1e-04|0|0.0038|3e-04,0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0.0025|0.0013|0.168|0.0676|0.1274|0.1326|0.2796|0,0|0|0.0042|0|0.1513|0.0221|0.0806|0.108|0.237|0,0.0056|0.0016|0.0057|0.0119|0.1557|0.0664|0.1351|0.131|0.2982|2e-04,0|0|8e-04|0|0.5261|0.0647|0.0874|0.0141|0,0|0|0.001|0|0.4065|0.0846|0|0.1002|0,0|0|0.0028|0.003|0.3909|0.1215|0.1545|0.0581|0,0|0|3e-04|0|0.101|0.0251|0.2501|0.1014|0.3031|0,0|0|8e-04|0|0.2217|0.0123|0.0619|0.0771|0.2661|0,0|0|8e-04|0|0.1849|0|0.0152|0.0189|0.367|0,0|0|8e-04|0.0057|0.2014|0.0474|0.1108|0.1109|0.2492|0,0.1758|0|0|0|0.0373|0.4561|0.1248|0.1426|0.002|0.0063,0|0|0|0|0.5109|0.1261|0.1559|0.0695|0,0|0|3e-04|0|0.6163|0.118|0.1456|0.0317|0,4e-04|0.0041|0.0085|0.0162|0.4485|0.1349|0.1819|0.0788|0.0024,0.0107|0.3908|0.0391|0.1996|0.0697|0.0609|0.0256|0|0|0,0|0|8e-04|0|0.2497|0.0101|0.0083|0.0045|0.0179|0.1423|0.0532|0.0941|0.1915|0|1e-04|0|0|0|0|0,0|9e-04|0.0014|0|0.3972|0|0|6e-04|0|0.1094|0.0107|0.0893|0.2329|0|6e-04|0|0|0|0|0,0|0|0.0011|0|0.5561|0|0|0.0011|0|0.188|0.0391|0|0.062|0|2e-04|0|0|0|0|0,0|0|0.0013|0|0.4945|0|0|0.0413|0.0149|0.117|0.0129|0.2368|0.0257|0|0.0405|0|0|0|0|0,0|0|0.0537|0.5323|0|0.2808|0.2247|0|0.0023|0|0|0|0|9e-04|0|0.0645|0|0|0,0|0|0|0|9e-04|0|0.4116|0.3218|0|0.4574|0|0|0|0|0|0|0|0|0|0|0|0
Sample01,1,NormAbund,21.7415171336175,215.790875152753,4.86614988600475,959.140424256583,4.0962784422499,636.5093837572,145.948070740665,5.94408228866157,33.1155261516414,22.8499042456834,10.8300839199298,15.1489101127239,107.397163621654,563.959308325811,726.810473013369,1478.01134494217,159.086785621847,187.962490637972,505.635103863715,242.248541925606,47.5105868757278,293.137754006845,15.3454779663942,758.541484678515,373.272764299966,2879.20204002859,86.724285946448,18.557964538836,898.34552143772,8.10575339204931,1.52933918163032,88.287159200025,12.8099141836347,10.9181403478338,3.76050083543841,140.370184218977,10.9025129826514,36.541956973156,13.0796426615821,351.507681446196,314.324435875837,25.7568145003774,12.2504416071316,3.3578312392626,0,85.5009641765465,0.760117787664031
Sample02,1,NormAbund,8.0095589855165,89.8164390859283,3.31519488346336,4031.30085172437,2.8434395552395,552.374989603852,267.654142506795,18.69660129781,51.4466743992339,71.102423282365,46.9743057719804,65.7849975802577,615.848325165183,2808.79672922494,3257.15831403079,3191.89054164725,1208.45230038372,1052.5662475145,3009.27982626579,1207.35991501312,268.79877872927,1722.9639879527,81.114268896265,4651.14190574597,2340.50866835676,16170.8858098135,57.7658788597606,16.8298707926248,526.565036921897,4.39175729272669,0.81997383079309,37.4187537880111,9.39880949677306,4.37087991598491,1.63400735824946,77.1728786658628,2.73137619854016,18.0142694208899,12.5352863246479,162.063090319519,65.2889016709121,6.2972540298546,0.396113127550417,0,0,2.98670849110342,0.0688556163149293
