"","compound","datatype","cohort","P_RA","Abund","Labeling","Fraction","label_cont","P_FC","lab_label","lablab_posAngle","lablab_posDist","P_lablab","P_RAlab"
"1","(2 and/or 3-)Phosphoglyceric acid","FracCont","0.5*",0.0387753909015247,1,"Labeled",0.0928588810517266,0.093,0.0495346134356268,"9.3%",0,0,"P_FC=0.05*","pRA=0.04*"
"2","(2 and/or 3-)Phosphoglyceric acid","FracCont","0.5*",0.0387753909015247,1,"Unlabeled",0.907141118948273,0.907,NA,"",0,0,"","pRA=0.04*"
"3","(2 and/or 3-)Phosphoglyceric acid","FracCont","1*",0.131816648218619,0.880910348409037,"Labeled",0.111037897682527,0.126,0.0495346134356268,"12.6%",0,0,"P_FC=0.05*","pRA=0.13"
"4","(2 and/or 3-)Phosphoglyceric acid","FracCont","1*",0.131816648218619,0.880910348409037,"Unlabeled",0.769872450726509,0.874,NA,"",0,0,"","pRA=0.13"
"5","13C5-D5-15N Glutamic acid","FracCont","0.5",0.0237141229588981,1,"Labeled",0,0,1,"0%",0,0,"P_FC=1","pRA=0.02*"
"6","13C5-D5-15N Glutamic acid","FracCont","0.5",0.0237141229588981,1,"Unlabeled",1,1,NA,"",0,0,"","pRA=0.02*"
"7","13C5-D5-15N Glutamic acid","FracCont","1",0.0394916689205365,0.974049396514835,"Labeled",0,0,1,"0%",0,0,"P_FC=1","pRA=0.04*"
"8","13C5-D5-15N Glutamic acid","FracCont","1",0.0394916689205365,0.974049396514835,"Unlabeled",0.974049396514835,1,NA,"",0,0,"","pRA=0.04*"
"9","2-Phosphoglyceric acid","FracCont","0.5*",0.0445547589167047,1,"Labeled",0.0790433523891137,0.079,0.0495346134356268,"7.9%",0,0,"P_FC=0.05*","pRA=0.04*"
"10","2-Phosphoglyceric acid","FracCont","0.5*",0.0445547589167047,1,"Unlabeled",0.920956647610886,0.921,NA,"",0,0,"","pRA=0.04*"
"11","2-Phosphoglyceric acid","FracCont","1*",0.0745954842840572,0.953014823343288,"Labeled",0.116282237515702,0.122,0.0495346134356268,"12.2%",0,0,"P_FC=0.05*","pRA=0.07"
"12","2-Phosphoglyceric acid","FracCont","1*",0.0745954842840572,0.953014823343288,"Unlabeled",0.836732585827587,0.878,NA,"",0,0,"","pRA=0.07"
