compound,formula,id,rt,category,mz,std rt date,Comment,TMS functionalisation,Orig_name,Orig_form,N_mox,N_TMS,Sens ok?
MethylOctanoate(C8:0),,,8.735,00_Internal_Standard,159.13796,10/11/2024,,,MethylOctanoate(C8:0),,0,0,
MethylDecanoate(C10:0),,,11.578,00_Internal_Standard,187.16926,10/11/2024,,,MethylDecanoate(C10:0),,0,0,
MethylLaurate(C12:0),,,14.164,00_Internal_Standard,215.20056,10/11/2024,,,MethylLaurate(C12:0),,0,0,
MethylTridecanoate(C13:0),,,15.36,00_Internal_Standard,229.21621,10/11/2024,,,MethylTridecanoate(C13:0),,0,0,
MethylMyristate(C14:0),,,16.496,00_Internal_Standard,243.23186,10/11/2024,,,MethylMyristate(C14:0),,0,0,
MethylPalmitoleate(C16:1),,,18.407,00_Internal_Standard,269.24751,10/11/2024,,,MethylPalmitoleate(C16:1),,0,0,
MethylPalmitate(C16:0),,,18.614,00_Internal_Standard,271.26316,10/11/2024,,,MethylPalmitate(C16:0),,0,0,
MethylHeptadecanoate(C17:0),,,19.601,00_Internal_Standard,285.27881,10/11/2024,,,MethylHeptadecanoate(C17:0),,0,0,
MethylLinolenate(C18:3),,,20.312,00_Internal_Standard,293.24751,10/11/2024,,,MethylLinolenate(C18:3),,0,0,
MethylLinoleate(C18:2),,,20.254,00_Internal_Standard,295.26316,10/11/2024,,,MethylLinoleate(C18:2),,0,0,
MethylOleate(C18:1),,,20.315,00_Internal_Standard,297.27881,10/11/2024,,,MethylOleate(C18:1),,0,0,
MethylStearate(C18:0),,,20.55,00_Internal_Standard,299.29446,10/11/2024,,,MethylStearate(C18:0),,0,0,
13C5-D5-15N Glutamic acid_2TMS,,,14.183,00_Internal_Standard,303.18468,10/11/2024,,,13C5-D5-15N Glutamic acid,,0,2,
MethylEicosapentaenoate(C20:5),,,21.806,00_Internal_Standard,317.24751,10/11/2024,,,MethylEicosapentaenoate(C20:5),,0,0,
MethylArachidonate(C20:4),,,21.75,00_Internal_Standard,319.26316,10/11/2024,,,MethylArachidonate(C20:4),,0,0,
Methyl11-14-17-Eicosatrienoate(C20:3),,,22.134,00_Internal_Standard,321.27881,10/11/2024,,,Methyl11-14-17-Eicosatrienoate(C20:3),,0,0,
Methyl11-Eicosenoate(C20:1),,,22.121,00_Internal_Standard,325.31011,10/11/2024,,,Methyl11-Eicosenoate(C20:1),,0,0,
MethylArachidate(C20:0),,,22.337,00_Internal_Standard,327.32576,10/11/2024,,,MethylArachidate(C20:0),,0,0,
Myristic acid d27_1TMS,,,17.589,00_Internal_Standard,328.42521,10/11/2024,,,Myristic acid d27,,0,1,
MethylHeneicosanoate(C21:0),,,23.179,00_Internal_Standard,341.34141,10/11/2024,,,MethylHeneicosanoate(C21:0),,0,0,
MethylDocosahexaenoate(C22:6),,,23.382,00_Internal_Standard,343.26316,10/11/2024,,,MethylDocosahexaenoate(C22:6),,0,0,
