"","compound","datatype","Isotopologue","cohort","P_RA","Abund","Fraction","label_cont","P_iso","lab_label","lablab_posAngle","lablab_posDist","P_lablab","P_RAlab"
"1","(2 and/or 3-)Phosphoglyceric acid","Isotopologue","C13-0","0.5",0.0387753909015247,1,0.907987189082131,0.908,0.0495346134356268,"90.8%",-0.454,0.7,"P_iso=0.05*","pRA=0.04*"
"2","(2 and/or 3-)Phosphoglyceric acid","Isotopologue","C13-0","1",0.131816648218619,0.880910348409037,0.77142154593659,0.876,0.0495346134356268,"87.6%",-0.438,0.7,"P_iso=0.05*","pRA=0.13"
"3","(2 and/or 3-)Phosphoglyceric acid","Isotopologue","C13-1","0.5",0.0387753909015247,1,0,0,0.0495346134356268,"<0.05%",-0.908,0.7,"P_iso=0.05*","pRA=0.04*"
"4","(2 and/or 3-)Phosphoglyceric acid","Isotopologue","C13-1","1",0.131816648218619,0.880910348409037,0,0,0.827259346562712,"<0.05%",-0.876,0.7,"P_iso=0.83","pRA=0.13"
"5","(2 and/or 3-)Phosphoglyceric acid","Isotopologue","C13-2","0.5",0.0387753909015247,1,0,0,0.827259346562712,"<0.05%",-0.908,0.7,"P_iso=0.83","pRA=0.04*"
"6","(2 and/or 3-)Phosphoglyceric acid","Isotopologue","C13-2","1",0.131816648218619,0.880910348409037,0,0,0.512690760261924,"<0.05%",-0.876,0.7,"P_iso=0.51","pRA=0.13"
"7","(2 and/or 3-)Phosphoglyceric acid","Isotopologue","C13-3","0.5",0.0387753909015247,1,0.0920128109178686,0.092,0.0495346134356268,"9.2%",-0.954,0.7,"P_iso=0.05*","pRA=0.04*"
"8","(2 and/or 3-)Phosphoglyceric acid","Isotopologue","C13-3","1",0.131816648218619,0.880910348409037,0.109488802472447,0.124,0.0495346134356268,"12.4%",-0.938,0.7,"P_iso=0.05*","pRA=0.13"
"9","2-Phosphoglyceric acid","Isotopologue","C13-0","0.5",0.0445547589167047,1,0.926347274044117,0.926,0.0495346134356268,"92.6%",-1.463,0.7,"P_iso=0.05*","pRA=0.04*"
"10","2-Phosphoglyceric acid","Isotopologue","C13-0","1",0.0745954842840572,0.953014823343288,0.847449426263714,0.889,0.0495346134356268,"88.9%",-1.4445,0.7,"P_iso=0.05*","pRA=0.07"
"11","2-Phosphoglyceric acid","Isotopologue","C13-1","0.5",0.0445547589167047,1,0,0,0.126630457947616,"<0.05%",-1.926,0.7,"P_iso=0.13","pRA=0.04*"
"12","2-Phosphoglyceric acid","Isotopologue","C13-1","1",0.0745954842840572,0.953014823343288,0,0,0.126630457947616,"<0.05%",-1.889,0.7,"P_iso=0.13","pRA=0.07"
"13","2-Phosphoglyceric acid","Isotopologue","C13-2","0.5",0.0445547589167047,1,0,0,0.827259346562712,"<0.05%",-1.926,0.7,"P_iso=0.83","pRA=0.04*"
"14","2-Phosphoglyceric acid","Isotopologue","C13-2","1",0.0745954842840572,0.953014823343288,0,0,0.512690760261924,"<0.05%",-1.889,0.7,"P_iso=0.51","pRA=0.07"
"15","2-Phosphoglyceric acid","Isotopologue","C13-3","0.5",0.0445547589167047,1,0.0736527259558833,0.074,0.0495346134356268,"7.4%",-1.963,0.7,"P_iso=0.05*","pRA=0.04*"
"16","2-Phosphoglyceric acid","Isotopologue","C13-3","1",0.0745954842840572,0.953014823343288,0.105565397079575,0.111,0.0495346134356268,"11.1%",-1.9445,0.7,"P_iso=0.05*","pRA=0.07"
"17","3-DL-Hydroxybutyric acid","Isotopologue","C13-0","0.5",0.850208455644274,0.784356942098039,0.766832316405248,0.978,0.0495346134356268,"97.8%",-2.489,0.7,"P_iso=0.05*","pRA=0.85"
"18","3-DL-Hydroxybutyric acid","Isotopologue","C13-0","1",0.707885829022908,1,0.981130082278132,0.981,0.0495346134356268,"98.1%",-2.4905,0.7,"P_iso=0.05*","pRA=0.71"
"19","3-DL-Hydroxybutyric acid","Isotopologue","C13-1","0.5",0.850208455644274,0.784356942098039,0.0119962757189856,0.015,0.0495346134356268,"1.5%",-2.9855,0.7,"P_iso=0.05*","pRA=0.85"
"20","3-DL-Hydroxybutyric acid","Isotopologue","C13-1","1",0.707885829022908,1,0.00607878504388071,0.006,0.827259346562712,"0.6%",-2.984,0.7,"P_iso=0.83","pRA=0.71"
"21","3-DL-Hydroxybutyric acid","Isotopologue","C13-2","0.5",0.850208455644274,0.784356942098039,0,0,0.126630457947616,"<0.05%",-2.993,0.7,"P_iso=0.13","pRA=0.85"
"22","3-DL-Hydroxybutyric acid","Isotopologue","C13-2","1",0.707885829022908,1,0,0,0.0495346134356268,"<0.05%",-2.987,0.7,"P_iso=0.05*","pRA=0.71"
"23","3-DL-Hydroxybutyric acid","Isotopologue","C13-3","0.5",0.850208455644274,0.784356942098039,0,0,0.0495346134356268,"<0.05%",-2.993,0.7,"P_iso=0.05*","pRA=0.85"
"24","3-DL-Hydroxybutyric acid","Isotopologue","C13-3","1",0.707885829022908,1,0,0,0.0495346134356268,"<0.05%",-2.987,0.7,"P_iso=0.05*","pRA=0.71"
"25","3-DL-Hydroxybutyric acid","Isotopologue","C13-4","0.5",0.850208455644274,0.784356942098039,0.00552834997380511,0.007,0.0495346134356268,"0.7%",-2.9965,0.7,"P_iso=0.05*","pRA=0.85"
"26","3-DL-Hydroxybutyric acid","Isotopologue","C13-4","1",0.707885829022908,1,0.012791132677987,0.013,0.0495346134356268,"1.3%",-2.9935,0.7,"P_iso=0.05*","pRA=0.71"
"27","Citric acid","Isotopologue","C13-0","0.5",0.893301724747601,0.971477978369664,0.918775370991977,0.946,0.0495346134356268,"94.6%",-3.473,0.7,"P_iso=0.05*","pRA=0.89"
"28","Citric acid","Isotopologue","C13-0","1",0.0469896434799251,0.49187469164719,0.461148361010824,0.938,0.0495346134356268,"93.8%",-3.469,0.7,"P_iso=0.05*","pRA=0.05*"
"29","Citric acid","Isotopologue","C13-1","0.5",0.893301724747601,0.971477978369664,0,0,0.827259346562712,"<0.05%",-3.946,0.7,"P_iso=0.83","pRA=0.89"
"30","Citric acid","Isotopologue","C13-1","1",0.0469896434799251,0.49187469164719,0,0,0.827259346562712,"<0.05%",-3.938,0.7,"P_iso=0.83","pRA=0.05*"
"31","Citric acid","Isotopologue","C13-2","0.5",0.893301724747601,0.971477978369664,0.0471688259091551,0.049,0.0495346134356268,"4.9%",-3.9705,0.7,"P_iso=0.05*","pRA=0.89"
"32","Citric acid","Isotopologue","C13-2","1",0.0469896434799251,0.49187469164719,0.0251711974450672,0.051,0.0495346134356268,"5.1%",-3.9635,0.7,"P_iso=0.05*","pRA=0.05*"
"33","Citric acid","Isotopologue","C13-3","0.5",0.893301724747601,0.971477978369664,0.00553378146853215,0.006,0.0495346134356268,"0.6%",-3.998,0.7,"P_iso=0.05*","pRA=0.89"
"34","Citric acid","Isotopologue","C13-3","1",0.0469896434799251,0.49187469164719,0.00555513319129847,0.011,0.0495346134356268,"1.1%",-3.9945,0.7,"P_iso=0.05*","pRA=0.05*"
"35","Citric acid","Isotopologue","C13-4","0.5",0.893301724747601,0.971477978369664,0,0,0.512690760261924,"<0.05%",-4.001,0.7,"P_iso=0.51","pRA=0.89"
"36","Citric acid","Isotopologue","C13-4","1",0.0469896434799251,0.49187469164719,0,0,0.827259346562712,"<0.05%",-4,0.7,"P_iso=0.83","pRA=0.05*"
"37","Citric acid","Isotopologue","C13-5","0.5",0.893301724747601,0.971477978369664,0,0,0.0495346134356268,"<0.05%",-4.001,0.7,"P_iso=0.05*","pRA=0.89"
"38","Citric acid","Isotopologue","C13-5","1",0.0469896434799251,0.49187469164719,0,0,0.512690760261924,"<0.05%",-4,0.7,"P_iso=0.51","pRA=0.05*"
"39","Citric acid","Isotopologue","C13-6","0.5",0.893301724747601,0.971477978369664,0,0,0.0495346134356268,"<0.05%",-4.001,0.7,"P_iso=0.05*","pRA=0.89"
"40","Citric acid","Isotopologue","C13-6","1",0.0469896434799251,0.49187469164719,0,0,0.512690760261924,"<0.05%",-4,0.7,"P_iso=0.51","pRA=0.05*"
"41","D-Glyceraldehyde 3-phosphate","Isotopologue","C13-0","0.5",0.000135399012797667,0.825929399711838,0.767047988538517,0.929,0.0495346134356268,"92.9%",-4.4655,0.7,"P_iso=0.05*","pRA=0*"
"42","D-Glyceraldehyde 3-phosphate","Isotopologue","C13-0","1",3.06472383182673e-05,1,0.916471916211924,0.916,0.0495346134356268,"91.6%",-4.458,0.7,"P_iso=0.05*","pRA=0*"
"43","D-Glyceraldehyde 3-phosphate","Isotopologue","C13-1","0.5",0.000135399012797667,0.825929399711838,0,0,0.126630457947616,"<0.05%",-4.93,0.7,"P_iso=0.13","pRA=0*"
"44","D-Glyceraldehyde 3-phosphate","Isotopologue","C13-1","1",3.06472383182673e-05,1,0,0,0.126630457947616,"<0.05%",-4.916,0.7,"P_iso=0.13","pRA=0*"
"45","D-Glyceraldehyde 3-phosphate","Isotopologue","C13-2","0.5",0.000135399012797667,0.825929399711838,0,0,0.0495346134356268,"<0.05%",-4.93,0.7,"P_iso=0.05*","pRA=0*"
"46","D-Glyceraldehyde 3-phosphate","Isotopologue","C13-2","1",3.06472383182673e-05,1,0,0,0.0495346134356268,"<0.05%",-4.916,0.7,"P_iso=0.05*","pRA=0*"
