Sample,cohort,compound,datatype,value
MCF002044_001,0,13C5-D5-15N Glutamic acid,Abund,6731674
MCF002044_001,0,13C5-D5-15N Glutamic acid,BlankcorAbund,6731674
MCF002044_001,0,13C5-D5-15N Glutamic acid,NormAbund,13463348
MCF002044_001,0,D7-Glucose,Abund,1178957312
MCF002044_001,0,D7-Glucose,BlankcorAbund,1178052069.8133333
MCF002044_001,0,D7-Glucose,NormAbund,2356104139.6266665
MCF002044_001,0,Myristic acid d27,Abund,2671348.25
MCF002044_001,0,Myristic acid d27,BlankcorAbund,857964.8300000001
MCF002044_001,0,Myristic acid d27,NormAbund,1715929.6600000001
MCF002044_001,0,2-Phosphoglyceric acid,Abund,108488.7807122494
MCF002044_001,0,2-Phosphoglyceric acid,BlankcorAbund,108488.7807122494
MCF002044_001,0,2-Phosphoglyceric acid,NormAbund,216977.5614244988
MCF002044_001,0,(2 and/or 3-)Phosphoglyceric acid,Abund,2124179.780434399
MCF002044_001,0,(2 and/or 3-)Phosphoglyceric acid,BlankcorAbund,2124179.780434399
MCF002044_001,0,(2 and/or 3-)Phosphoglyceric acid,NormAbund,4248359.560868798
MCF002044_001,0,D-Glyceraldehyde 3-phosphate,Abund,91846.78908452205
MCF002044_001,0,D-Glyceraldehyde 3-phosphate,BlankcorAbund,91846.78908452205
MCF002044_001,0,D-Glyceraldehyde 3-phosphate,NormAbund,183693.5781690441
MCF002044_001,0,Dihydroxyacetone phosphate,Abund,568250.8436681657
MCF002044_001,0,Dihydroxyacetone phosphate,BlankcorAbund,568250.8436681657
MCF002044_001,0,Dihydroxyacetone phosphate,NormAbund,1136501.6873363315
MCF002044_001,0,Glycerol 3-phosphate,Abund,14009105.1981075
MCF002044_001,0,Glycerol 3-phosphate,BlankcorAbund,14006236.186437802
MCF002044_001,0,Glycerol 3-phosphate,NormAbund,28012472.372875605
MCF002044_001,0,Hexose-phosphate,Abund,1357061.255142085
MCF002044_001,0,Hexose-phosphate,BlankcorAbund,1357061.255142085
MCF002044_001,0,Hexose-phosphate,NormAbund,2714122.51028417
MCF002044_001,0,Hexose,Abund,6768991837.532963
MCF002044_001,0,Hexose,BlankcorAbund,6761759151.090961
MCF002044_001,0,Hexose,NormAbund,13523518302.181923
