"","compound","datatype","cohort","P","average"
"1","(2 and/or 3-)Phosphoglyceric acid","FracCont","0.5",0.0495346134356268,0.0928588810517266
"2","(2 and/or 3-)Phosphoglyceric acid","FracCont","1",0.0495346134356268,0.126049033120188
"3","(2 and/or 3-)Phosphoglyceric acid","Isotopologue_C13-0","0.5",0.0495346134356268,0.916336253032517
"4","(2 and/or 3-)Phosphoglyceric acid","Isotopologue_C13-0","1",0.0495346134356268,0.885940021798865
"5","(2 and/or 3-)Phosphoglyceric acid","Isotopologue_C13-1","0.5",0.0495346134356268,-0.0045365900311327
"6","(2 and/or 3-)Phosphoglyceric acid","Isotopologue_C13-1","1",0.827259346562712,-0.00549015117411803
"7","(2 and/or 3-)Phosphoglyceric acid","Isotopologue_C13-2","0.5",0.827259346562712,-0.00465854405311061
"8","(2 and/or 3-)Phosphoglyceric acid","Isotopologue_C13-2","1",0.512690760261924,-0.00619242028532418
"9","(2 and/or 3-)Phosphoglyceric acid","Isotopologue_C13-3","0.5",0.0495346134356268,0.0928588810517266
"10","(2 and/or 3-)Phosphoglyceric acid","Isotopologue_C13-3","1",0.0495346134356268,0.125742549660577
"11","13C5-D5-15N Glutamic acid","FracCont","0.5",1,0
"12","13C5-D5-15N Glutamic acid","FracCont","1",1,0
"13","2-DL-Hydroxybutyric acid","FracCont","0.5",0.353678517318464,0.0169798766372083
"14","2-DL-Hydroxybutyric acid","FracCont","1",0.824778095082514,0.0128879856010555
"15","2-DL-Hydroxybutyric acid","Isotopologue_C13-0","0.5",0.642834826490805,1.23743494680189
"16","2-DL-Hydroxybutyric acid","Isotopologue_C13-0","1",0.657905019428483,1.20397294719814
"17","2-DL-Hydroxybutyric acid","Isotopologue_C13-1","0.5",0.353678517318464,-0.176652165282421
"18","2-DL-Hydroxybutyric acid","Isotopologue_C13-1","1",0.506555169049041,-0.136043419545478
"19","2-DL-Hydroxybutyric acid","Isotopologue_C13-2","0.5",0.816639414940749,-0.0787613165827608
"20","2-DL-Hydroxybutyric acid","Isotopologue_C13-2","1",0.657905019428483,-0.0838410362446498
"21","2-DL-Hydroxybutyric acid","Isotopologue_C13-3","0.5",0.164159728478515,0.01434181762652
"22","2-DL-Hydroxybutyric acid","Isotopologue_C13-3","1",0.268285883677117,0.0120940919637265
"23","2-DL-Hydroxybutyric acid","Isotopologue_C13-4","0.5",1,0.00363671743677559
"24","2-DL-Hydroxybutyric acid","Isotopologue_C13-4","1",0.657905019428483,0.00381741662826066
"25","2-Phosphoglyceric acid","FracCont","0.5",0.0495346134356268,0.0790433523891137
"26","2-Phosphoglyceric acid","FracCont","1",0.0495346134356268,0.122015140444269
"27","2-Phosphoglyceric acid","Isotopologue_C13-0","0.5",0.0495346134356268,0.974145542051878
"28","2-Phosphoglyceric acid","Isotopologue_C13-0","1",0.0495346134356268,0.949605307352232
"29","2-Phosphoglyceric acid","Isotopologue_C13-1","0.5",0.126630457947616,-0.0145855260290973
"30","2-Phosphoglyceric acid","Isotopologue_C13-1","1",0.126630457947616,-0.0411931727936633
"31","2-Phosphoglyceric acid","Isotopologue_C13-2","0.5",0.827259346562712,-0.037013123146055
"32","2-Phosphoglyceric acid","Isotopologue_C13-2","1",0.512690760261924,-0.0267029236402001
"33","2-Phosphoglyceric acid","Isotopologue_C13-3","0.5",0.0495346134356268,0.0774531071232746
"34","2-Phosphoglyceric acid","Isotopologue_C13-3","1",0.0495346134356268,0.118290789081631
"35","3-DL-Hydroxybutyric acid","FracCont","0.5",0.0495346134356268,0.0145663368989108
"36","3-DL-Hydroxybutyric acid","FracCont","1",0.126630457947616,0.0148909512377562
"37","3-DL-Hydroxybutyric acid","Isotopologue_C13-0","0.5",0.0495346134356268,1.07459666112237
"38","3-DL-Hydroxybutyric acid","Isotopologue_C13-0","1",0.0495346134356268,1.01171413341634
"39","3-DL-Hydroxybutyric acid","Isotopologue_C13-1","0.5",0.0495346134356268,0.0168109214462379
"40","3-DL-Hydroxybutyric acid","Isotopologue_C13-1","1",0.827259346562712,0.00626827456825502
"41","3-DL-Hydroxybutyric acid","Isotopologue_C13-2","0.5",0.126630457947616,-0.10264334935145
"42","3-DL-Hydroxybutyric acid","Isotopologue_C13-2","1",0.0495346134356268,-0.0207620072174951
"43","3-DL-Hydroxybutyric acid","Isotopologue_C13-3","0.5",0.0495346134356268,0.00348864098197008
"44","3-DL-Hydroxybutyric acid","Isotopologue_C13-3","1",0.0495346134356268,-0.0104102620775111
"45","3-DL-Hydroxybutyric acid","Isotopologue_C13-4","0.5",0.0495346134356268,0.00774712580087378
"46","3-DL-Hydroxybutyric acid","Isotopologue_C13-4","1",0.0495346134356268,0.0131898613104134
"47","Citric acid","FracCont","0.5",0.0495346134356268,0.0204074590882948
"48","Citric acid","FracCont","1",0.0495346134356268,0.0238104628747756
"49","Citric acid","Isotopologue_C13-0","0.5",0.0495346134356268,0.94927331777301
"50","Citric acid","Isotopologue_C13-0","1",0.0495346134356268,0.944809125396473
"51","Citric acid","Isotopologue_C13-1","0.5",0.827259346562712,-0.00396990309695007
"52","Citric acid","Isotopologue_C13-1","1",0.827259346562712,-0.00320178011788511
"53","Citric acid","Isotopologue_C13-2","0.5",0.0495346134356268,0.0487345539289953
"54","Citric acid","Isotopologue_C13-2","1",0.0495346134356268,0.0515712058286979
"55","Citric acid","Isotopologue_C13-3","0.5",0.0495346134356268,0.00571747051598991
"56","Citric acid","Isotopologue_C13-3","1",0.0495346134356268,0.0113814576298764
"57","Citric acid","Isotopologue_C13-4","0.5",0.512690760261924,0.00023892414112678
"58","Citric acid","Isotopologue_C13-4","1",0.827259346562712,-0.00136830076049104
"59","Citric acid","Isotopologue_C13-5","0.5",0.0495346134356268,0.00093073168829061
"60","Citric acid","Isotopologue_C13-5","1",0.512690760261924,-0.00277989994145389
"61","Citric acid","Isotopologue_C13-6","0.5",0.0495346134356268,-0.000925094950462609
"62","Citric acid","Isotopologue_C13-6","1",0.512690760261924,-0.000411808035217642
"63","D-Glyceraldehyde 3-phosphate","FracCont","0.5",0.0495346134356268,0.0776158285695642
"64","D-Glyceraldehyde 3-phosphate","FracCont","1",0.0495346134356268,0.0917043739919349
"65","D-Glyceraldehyde 3-phosphate","Isotopologue_C13-0","0.5",0.0495346134356268,0.970243994424139
"66","D-Glyceraldehyde 3-phosphate","Isotopologue_C13-0","1",0.0495346134356268,0.967279148490954
"67","D-Glyceraldehyde 3-phosphate","Isotopologue_C13-1","0.5",0.126630457947616,-0.0326870244077049
"68","D-Glyceraldehyde 3-phosphate","Isotopologue_C13-1","1",0.126630457947616,-0.0360679134109438
"69","D-Glyceraldehyde 3-phosphate","Isotopologue_C13-2","0.5",0.0495346134356268,-0.0120364503459295
"70","D-Glyceraldehyde 3-phosphate","Isotopologue_C13-2","1",0.0495346134356268,-0.0193699362168247
"71","D-Glyceraldehyde 3-phosphate","Isotopologue_C13-3","0.5",0.0495346134356268,0.0744794803294952
"72","D-Glyceraldehyde 3-phosphate","Isotopologue_C13-3","1",0.0495346134356268,0.088158701136815
"73","D7-Glucose","FracCont","0.5",1,0
"74","D7-Glucose","FracCont","1",1,0
"75","DL-2-Hydroxyglutaric acid","FracCont","0.5",0.827259346562712,0.00165667842380026
"76","DL-2-Hydroxyglutaric acid","FracCont","1",0.827259346562712,0.00176503492428794
"77","DL-2-Hydroxyglutaric acid","Isotopologue_C13-0","0.5",0.827259346562712,1.02498950647044
"78","DL-2-Hydroxyglutaric acid","Isotopologue_C13-0","1",0.275233524074834,1.03271129782178
"79","DL-2-Hydroxyglutaric acid","Isotopologue_C13-1","0.5",0.512690760261924,-0.00271579894448816
"80","DL-2-Hydroxyglutaric acid","Isotopologue_C13-1","1",0.0495346134356268,-0.0141163605934886
"81","DL-2-Hydroxyglutaric acid","Isotopologue_C13-2","0.5",0.827259346562712,-0.00899215753281619
"82","DL-2-Hydroxyglutaric acid","Isotopologue_C13-2","1",0.827259346562712,-0.00135758563477621
"83","DL-2-Hydroxyglutaric acid","Isotopologue_C13-3","0.5",0.126630457947616,-0.00983059292615409
"84","DL-2-Hydroxyglutaric acid","Isotopologue_C13-3","1",0.827259346562712,-0.0145973236791866
"85","DL-2-Hydroxyglutaric acid","Isotopologue_C13-4","0.5",0.275233524074834,-0.00402834922667055
"86","DL-2-Hydroxyglutaric acid","Isotopologue_C13-4","1",0.512690760261924,-0.00356649556013674
"87","DL-2-Hydroxyglutaric acid","Isotopologue_C13-5","0.5",0.275233524074834,0.000577392159687012
"88","DL-2-Hydroxyglutaric acid","Isotopologue_C13-5","1",0.827259346562712,0.000926467645809796
"89","Dihydroxyacetone phosphate","FracCont","0.5",0.0495346134356268,0.108522907539154
"90","Dihydroxyacetone phosphate","FracCont","1",0.0495346134356268,0.0976681948775237
"91","Dihydroxyacetone phosphate","Isotopologue_C13-0","0.5",0.0495346134356268,0.91581306878061
"92","Dihydroxyacetone phosphate","Isotopologue_C13-0","1",0.0495346134356268,0.913492034453182
"93","Dihydroxyacetone phosphate","Isotopologue_C13-1","0.5",0.0495346134356268,-0.0152307971403528
"94","Dihydroxyacetone phosphate","Isotopologue_C13-1","1",0.0495346134356268,-0.00244857841292493
"95","Dihydroxyacetone phosphate","Isotopologue_C13-2","0.5",0.512690760261924,-0.00910517917941098
"96","Dihydroxyacetone phosphate","Isotopologue_C13-2","1",0.827259346562712,-0.00845840844690303
"97","Dihydroxyacetone phosphate","Isotopologue_C13-3","0.5",0.0495346134356268,0.108522907539154
"98","Dihydroxyacetone phosphate","Isotopologue_C13-3","1",0.0495346134356268,0.0974149524066463
"99","Fructose","FracCont","0.5",0.126630457947616,0.288903141033694
"100","Fructose","FracCont","1",0.512690760261924,0.276726326748444
"101","Fructose","Isotopologue_C13-0","0.5",0.0495346134356268,0.722800813898348
"102","Fructose","Isotopologue_C13-0","1",0.512690760261924,0.737772467095226
"103","Fructose","Isotopologue_C13-1","0.5",0.275233524074834,0.00111103135260889
"104","Fructose","Isotopologue_C13-1","1",0.275233524074834,-0.0040910675247196
"105","Fructose","Isotopologue_C13-2","0.5",0.512690760261924,-0.00423243959950907
"106","Fructose","Isotopologue_C13-2","1",0.512690760261924,-0.00528302760569895
"107","Fructose","Isotopologue_C13-3","0.5",0.0495346134356268,-0.00165931890513237
"108","Fructose","Isotopologue_C13-3","1",0.126630457947616,0.00441029223313299
"109","Fructose","Isotopologue_C13-4","0.5",0.126630457947616,-6.81213306672093e-05
"110","Fructose","Isotopologue_C13-4","1",0.275233524074834,-0.000662130519852164
"111","Fructose","Isotopologue_C13-5","0.5",0.827259346562712,-0.00634896242573923
"112","Fructose","Isotopologue_C13-5","1",0.827259346562712,-0.00652617380723361
"113","Fructose","Isotopologue_C13-6","0.5",0.126630457947616,0.288396997010091
"114","Fructose","Isotopologue_C13-6","1",0.827259346562712,0.274379640129145
"115","Fucose","FracCont","0.5",0.827259346562712,0.0109857918312735
"116","Fucose","FracCont","1",0.512690760261924,0.00430637478062089
"117","Fucose","Isotopologue_C13-0","0.5",0.0495346134356268,1.09582581777875
"118","Fucose","Isotopologue_C13-0","1",0.0495346134356268,1.08575972066354
"119","Fucose","Isotopologue_C13-1","0.5",0.0495346134356268,-0.0448229786032185
