Sample,Condition,Tracer,compound,datatype,value
C9 Trac1,Control,13C6 Nutrient1,Fructose-6-phosphate,Abund,138475153.7
C9 Trac1,Control,13C6 Nutrient1,Fructose-6-phosphate,NormAbund,138475153.7
C9 Trac1,Control,13C6 Nutrient1,Galactose-1-phosphate,Abund,1050991827
C9 Trac1,Control,13C6 Nutrient1,Galactose-1-phosphate,NormAbund,1050991827
C9 Trac1,Control,13C6 Nutrient1,Galactose-6-phosphate,Abund,568700.7992
C9 Trac1,Control,13C6 Nutrient1,Galactose-6-phosphate,NormAbund,568700.7992
C9 Trac1,Control,13C6 Nutrient1,Glucose-1-phosphate,Abund,88731562.23
C9 Trac1,Control,13C6 Nutrient1,Glucose-1-phosphate,NormAbund,88731562.23
C9 Trac1,Control,13C6 Nutrient1,Glucose-6-phosphate,Abund,10900266.71
C9 Trac1,Control,13C6 Nutrient1,Glucose-6-phosphate,NormAbund,10900266.71
C9 Trac1,Control,13C6 Nutrient1,Mannose-1-phosphate,Abund,952988.2949
C9 Trac1,Control,13C6 Nutrient1,Mannose-1-phosphate,NormAbund,952988.2949
C9 Trac1,Control,13C6 Nutrient1,Mannose-6-phosphate,Abund,2619173.731
C9 Trac1,Control,13C6 Nutrient1,Mannose-6-phosphate,NormAbund,2619173.731
C9 Trac1,Control,13C6 Nutrient1,"Fructose 1,6-bisphosphate",Abund,24590738.64
C9 Trac1,Control,13C6 Nutrient1,"Fructose 1,6-bisphosphate",NormAbund,24590738.64
C9 Trac1,Control,13C6 Nutrient1,"Fructose 2,6-bisphosphate possibly1",Abund,992268.7043
C9 Trac1,Control,13C6 Nutrient1,"Fructose 2,6-bisphosphate possibly1",NormAbund,992268.7043
C9 Trac1,Control,13C6 Nutrient1,"Glucose 1,6-bisphosphate",Abund,6130127.293
C9 Trac1,Control,13C6 Nutrient1,"Glucose 1,6-bisphosphate",NormAbund,6130127.293
C9 Trac1,Control,13C6 Nutrient1,Uridine diphosphate-N-acetylglucosamine,Abund,105101358.3
C9 Trac1,Control,13C6 Nutrient1,Uridine diphosphate-N-acetylglucosamine,NormAbund,105101358.3
C9 Trac1,Control,13C6 Nutrient1,Uridine diphosphate glucuronic acid,Abund,20852506.07
C9 Trac1,Control,13C6 Nutrient1,Uridine diphosphate glucuronic acid,NormAbund,20852506.07
C9 Trac1,Control,13C6 Nutrient1,Uridine diphosphate hexose,Abund,150097843.3
C9 Trac1,Control,13C6 Nutrient1,Uridine diphosphate hexose,NormAbund,150097843.3
C9 Trac1,Control,13C6 Nutrient1,GDP-Fucose,Abund,2585984.193
C9 Trac1,Control,13C6 Nutrient1,GDP-Fucose,NormAbund,2585984.193
C9 Trac2,Control,13C6 Nutrient2,Fructose-6-phosphate,Abund,145703978.6
C9 Trac2,Control,13C6 Nutrient2,Fructose-6-phosphate,NormAbund,145703978.6
C9 Trac2,Control,13C6 Nutrient2,Galactose-1-phosphate,Abund,1231045638
