compound,detected_fraction,LOD,LOD_blankcor
(S)-a-Acetolactic Acid 1MOX 2TMS,0.24509803921568626,0,0
(iso)Citric acid 4TMS,0.9901960784313726,678310.9928142598,548055.4608043372
13C5-D5-15N Glutamic acid 3TMS,0.9901960784313726,0,0
"2,3-dihydroxyisovalerate 3TMS",0.30392156862745096,0,0
2-DL-Hydroxybutyric acid 2TMS 2TMS,0.3333333333333333,85868.27457968774,12652.678491881743
2-Phosphoglyceric acid 4TMS,0.9509803921568627,0,0
2-isopropylmalic acid 3TMS,0.4215686274509804,0,0
3-DL-Hydroxybutyric acid 2TMS 2TMS,0.9215686274509803,2338340.5546691534,336735.8007584652
3-Phosphoglyceric acid 4TMS,0.9901960784313726,0,0
D-Glyceraldehyde 3-phosphate 1MOX 3TMS,0.9509803921568627,0,0
D7-Glucose 1MOX 5TMS,0.9705882352941176,1640336.786251158,735094.5995844913
DL-2-Hydroxyglutaric acid 3TMS,0.9901960784313726,109766.10174190023,78312.31454764394
Dihydroxyacetone phosphate 1MOX 3TMS,0.9901960784313726,0,0
Fructose 1MOX 5TMS,1,2610701.4490577057,2011927.2847137197
Fucose 1MOX 4TMS,1,0,0
Fumaric acid 2TMS,0.9607843137254902,604701.3399560302,218477.59257341363
Galacturonic acid 1MOX 5TMS,0.5686274509803921,0,0
Glucose 1MOX 5TMS,1,3950164.6169881597,2506583.7401939053
Glucuronic acid 1MOX 5TMS,0.9901960784313726,0,0
Glycerol 3-phosphate 4TMS,0.9901960784313726,17776.83360796956,14907.82193827209
Glycine 3TMS,0.9901960784313726,6315145.96986061,4126175.023369627
Hexose 1MOX 5TMS,1,13486618.47148925,6253932.029488008
Hexose-phosphate 1MOX 6TMS,0.9901960784313726,0,0
L-Alanine 2TMS,0.9901960784313726,4254537.497549372,2487676.290716414
L-Asparagine 3TMS,0.7156862745098039,52163.58218324046,22896.037785386532
L-Aspartic acid 3TMS,0.9901960784313726,0,0
L-Cysteine 3TMS,0.9901960784313726,63647.646167934785,48028.31112505541
L-Glutamic acid 3TMS,0.9901960784313726,0,0
L-Isoleucine 2TMS,0.9803921568627451,947448.3729612669,288688.6675014371
L-Lactic acid 2TMS,0.9901960784313726,6511282.923861883,1216200.7824641922
L-Leucine 2TMS,0.9901960784313726,303508.8994598497,102282.64024976769
L-Lysine 3TMS,0.9901960784313726,0,0
L-Malic acid 3TMS,0.9901960784313726,919871.6882356697,567751.5798681387
L-Methionine 2TMS,0.9901960784313726,38927.132219235216,11521.132588755852
L-Phenylalanine 2TMS,0.9901960784313726,0,0
L-Proline 2TMS,0.9901960784313726,21806.95524634519,18287.520319852636
L-Serine 2TMS,0.9411764705882353,0,0
L-Threonine 2TMS,0.9901960784313726,344014.9035824637,229870.78727177466
L-Tryptophan 2TMS,0.9901960784313726,0,0
L-Tyrosine 3TMS,0.9901960784313726,0,0
L-Valine 2TMS,0.9901960784313726,590096.1937917827,199228.89416528173
Mannitol 6TMS,0.9901960784313726,0,0
Myo-inositol 6TMS,1,38199.470322068155,25945.641044364413
Myristic acid 1TMS,0,9570436.2443657,4750117.277027958
Myristic acid d27 1TMS,0.0392156862745098,3014138.8086417057,1200755.3886417057
Oxoadipic acid 1MOX 2TMS,0.7549019607843137,0,0
Oxoglutaric acid 1MOX 2TMS,0.9901960784313726,0,0
Palmitic acid 1TMS,0,402852965.39139235,129813408.76849425
Pentose-phosphate 1MOX 5TMS,0.9901960784313726,0,0
Phosphoenolpyruvic acid 3TMS,0.9901960784313726,0,0
Pyruvic acid 1MOX 1TMS,0.8823529411764706,167599.5098337987,73394.36687064286
Sorbitol 6TMS,1,156606.68794768723,72349.85969051225
Stearic acid 1TMS,0,207106706.67005485,114789967.5010717
Succinic acid 2TMS,0.7549019607843137,2833009.2182946308,254564.93334113946
a-Ketobutyric acid 1MOX 1TMS,0,2257047.154452131,1892781.2357860764
