Sample,Fructose-6-phosphate_1mox_4prop,Galactose-1-phosphate_4prop,Galactose-6-phosphate_1mox_4prop,Glucose-1-phosphate_4prop,Glucose-6-phosphate_1mox_4prop,Mannose-1-phosphate_4prop,Mannose-6-phosphate_1mox_4prop,00_Specific_HexBiP,"Fructose 1,6-bisphosphate","Fructose 2,6-bisphosphate_possibly1","Glucose 1,6-bisphosphate",08_Others,Uridine_diphosphate-N-acetylglucosamine,Uridine_diphosphate_glucuronic_acid,Uridine_diphosphate_hexose,Others,GDP-Fucose
C9 13C glu,0.990186668,0.953544511,0.041375797,0.985913146,1.002101202,1.01010101,1.003965952,,0.94772621,0.945852986,0.583975276,,0.612090367,0.705852561,0.703229083,,0.663593492
C9 13C glu 12C gal,0.033764536,0.01748218,-0.025497719,0.135430614,0.827572067,1.01010101,0.985249032,,0.904435076,1.01010101,0.059593922,,0.574684175,0.368480422,0.333889264,,0.647479854
C9 12C glu 13C gal,0.965655074,0.97933398,1.01010101,0.86010789,0.200676747,-0.043239734,-0.030253017,,0.05982992,-0.020578201,0.904751116,,0.018907637,0.334612404,0.37474929,,-0.006385591
C17 13C glu,0.99289874,0.956782947,0,0.988377222,1.003669338,1.01010101,1.001901443,,0.935986611,1.01010101,0.95891506,,0.638523392,0.719768107,0.713541899,,0.673658785
C17 13C glu 12C gal,0.038338602,0.01924019,-0.042901404,0.132283833,0.847177393,1.01010101,0.9872927,,0.860289712,1.01010101,0.036716686,,0.609511358,0.391412945,0.344597005,,0.673006654
C17 12C glu 13C gal,0.953624363,0.977462079,1.01010101,0.865555461,0.174532179,-0.043239734,-0.037395469,,0.077046256,-0.020578201,0.931669237,,0.017214053,0.330495195,0.376208997,,-0.007454502
P3 13C glu,0.982161591,0.903451376,0,0.960860345,0.997604084,1.01010101,0.982707938,,0.921510475,0.956969568,0.488946311,,0.654375497,0.71516816,0.705818858,,0.672911549
P3 13C glu 12C gal,0.015247458,0.007053451,-0.045058731,0.059122554,0.61605954,1.01010101,0.9573028,,0.816143461,1.008121767,-0.01294251,,0.609030928,0.341630892,0.326687394,,0.661271868
P3 12C glu 13C gal,0.977288327,0.987545449,1.01010101,0.927870958,0.375356795,-0.043239734,-0.032471588,,0.088051427,-0.020578201,0.941971303,,0.023933411,0.380797309,0.39622599,,-0.003253785
P6 13C glu,0.989612915,0.899133463,0,0.979681751,1.002500119,1.01010101,0.998284432,,0.976578008,1.003375647,0.950108277,,0.662247928,0.720870396,0.716105192,,0.665405069
P6 13C glu 12C gal,0.044399889,0.011644197,-0.045058731,0.104251467,0.756361526,1.01010101,0.973537753,,0.923720613,1.006830162,0.088869492,,0.635957604,0.373213422,0.347785682,,0.651293255
P6 12C glu 13C gal,0.970319862,0.983886995,1.01010101,0.891273545,0.263400349,-0.043239734,-0.027706033,,0.046809095,-0.020578201,0.904138937,,0.012565636,0.356082036,0.3816139,,-0.002813392
C6 13C glu,0.994570187,0.972336659,0,0.986920896,1.01010101,1.01010101,1.01010101,,0.744776284,1.007692415,-0.013718801,,0.624928218,0.723942572,0.716677873,,0.687648452
C6 13C glu 12C gal,0.014155078,0.008583498,-0.045058731,0.063903595,0.865330548,0.336700337,1.01010101,,0.6716926,1.01010101,0.014111221,,0.591481253,0.370325319,0.329680295,,0.683656275
C6 12C glu 13C gal,0.973540397,0.98441318,1.01010101,0.930397055,0.164204804,0,-0.045058731,,0.099234268,-0.020578201,0.951190413,,0.02499215,0.356072684,0.396556042,,-0.009669445
C11 13C glu,0.991939649,0.954546969,0,0.987325929,1.01010101,1.01010101,1.01010101,,0.979477565,1.007187578,1.01010101,,0.62131801,0.713842416,0.706265693,,0.674621353
C11 13C glu 12C gal,0.043314949,0.019460803,-0.030039154,0.138415967,0.835612661,1.01010101,0.985562566,,0.872507011,1.01010101,0.025155403,,0.594426421,0.38406883,0.346187345,,0.667557999
C11 12C glu 13C gal,0.929113222,0.975200608,1.01010101,0.864272796,0.151033495,-0.043239734,-0.045058731,,0.075093674,-0.020578201,0.932933536,,0.021683718,0.327893436,0.374631516,,-0.006140017
P1 13C glu,0.971199775,0.918029722,0,0.944842875,1.006641987,1.01010101,1.01010101,,0.94276314,0.987420736,0.60464929,,0.622201627,0.706284104,0.699325331,,0.678800252
P1 13C glu 12C gal,-0.001191683,0.002402033,-0.030039154,0.042946005,0.54438282,0,1.01010101,,0.839149849,1.01010101,-0.017485387,,0.59385214,0.336277474,0.320949732,,0.674671735
P1 12C glu 13C gal,0.977275037,0.989977764,0,0.943485481,0.444412307,0,-0.045058731,,0.10314733,-0.020578201,0.957905432,,0.020147728,0.38604335,0.402002255,,-0.006153411
P5 13C glu,0.993478671,0.973785932,0,0.995951925,1.002940004,1.01010101,1.01010101,,0.991982339,1.01010101,1.01010101,,0.650171309,0.736224881,0.725951227,,0.688478587
P5 13C glu 12C gal,0.032277511,0.008399288,0,0.095912536,0.950868607,1.01010101,1.01010101,,0.955836262,1.01010101,0.14971873,,0.626771492,0.369468723,0.355785722,,0.688128478
P5 12C glu 13C gal,0.961554846,0.98596685,0,0.899960474,0.040904192,-0.043239734,-0.045058731,,0.339254549,0.322981536,0.841606965,,0.209361655,0.478321917,0.489377425,,0.21422422
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
