Sample,Fructose-6-phosphate,Galactose-1-phosphate,Galactose-6-phosphate,Glucose-1-phosphate,Glucose-6-phosphate,Mannose-1-phosphate,Mannose-6-phosphate,00_Specific_HexBiP,"Fructose 1,6-bisphosphate","Fructose 2,6-bisphosphate_possibly1","Glucose 1,6-bisphosphate",08_Others,Uridine_diphosphate-N-acetylglucosamine,Uridine_diphosphate_glucuronic_acid,Uridine_diphosphate_hexose,Others,GDP-Fucose
C9 Trac1 no2,37455518.26,20470747.59,4510.428243,68151087.34,12399961.18,1869327.417,3455316.026,,26100439.77,950894.8333,972231.3112,,117996082.7,19724528.92,94152105.23,,2593462.735
C9 Trac1,138475153.7,1050991827,568700.7992,88731562.23,10900266.71,952988.2949,2619173.731,,24590738.64,992268.7043,6130127.293,,105101358.3,20852506.07,150097843.3,,2585984.193
C9 Trac2,145703978.6,1231045638,727346.0291,101708134.7,13486283.12,936021.6122,2735036.267,,25496843.07,1165143.414,7105555.074,,127300509.8,24843973.76,177025390.5,,3774798.453
C17 Trac1 no2,37404765.15,21774505.2,0,73277817.83,14651196.88,1745507.477,2632756.964,,12005861.69,1230904.582,786653.4071,,133656355.9,17988577.92,106608091.4,,2712243
C17 Trac1,107767454.9,675164110.2,655520.628,66335869.51,7655130.695,286815.4373,1160835.228,,9034237.646,841043.4267,6444487.849,,86104753.54,15548394.41,121360728.9,,2188916.048
C17 Trac2,92652966.85,902797021.1,855011.0694,83770672.28,8754256.695,295881.1853,1467210.45,,11502822.49,1360141.631,9601856.997,,124579378.1,21953211.94,168660931.9,,4096038.89
P3 Trac1 no2,18380227.25,10863156.88,0,39399232.72,13915277.36,1856734.91,3946269.785,,14900092.76,1464766.14,764636.0531,,177909289.7,36357092.12,55299846.64,,3251468.133
P3 Trac1,144867922.8,873511785.5,98240.81261,150844534.2,11136309.18,425375.1079,1611682.568,,6579813.137,1143595.876,5125863.021,,122657571.5,41369241.27,201781399.2,,2568518.31
P3 Trac2,111164907.7,995490002.5,287655.5897,152952522.6,11987118.5,430170.5413,1819453.211,,7339720.841,1373416.511,6489159.44,,152039295.5,47106437.27,238577617.8,,3884353.028
P6 Trac1 no2,21374089.27,14137973.92,0,50937005.85,21817269.18,3062781.565,5600472.405,,36815007.27,1625177.459,688683.8444,,212816011.7,31855997.23,62144267.51,,3853106.057
P6 Trac1,91468288.1,1270046260,76177.43146,146248340.2,16096995.99,802187.0758,3004429.702,,24338657.51,1369702.455,4489278.542,,137254794.7,33780006.35,190590059.5,,3227028.569
P6 Trac2,99503642.11,1318000394,136205.5909,156267835.9,16162215.34,869300.7191,2986617.306,,20376785.89,1380361.847,4512272.164,,148312549.7,34520163.53,199477941.7,,3895101.187
C6 Trac1 no2,35237141.91,15002568.52,0,58195716.68,4259380.418,620169.9105,430005.5994,,4184762.692,1078005.836,449470.3135,,122354181.5,29564365.78,83886688.59,,1815325.407
C6 Trac1,101998141.6,531616289.4,472989.5399,67668115.26,3815830.84,43053.56776,131409.333,,3009120.735,998687.5702,6948438.003,,86608904.11,30333229.59,114269729.6,,1163315.056
C6 Trac2,88915762.71,532404280.1,478994.6101,65753328.87,2404442.911,0,181776.9008,,2234776.64,937856.7681,6712050.759,,94028469.98,31760158.96,117016065.9,,1606392.59
C11 Trac1 no2,42305465.44,19649500.02,0,70266303.47,9550778.47,1790132.931,4243647.05,,23704117.8,1455155.905,638420.4241,,171261234.6,19496487.04,113195633.5,,3030883.724
C11 Trac1,92765211.22,786267907.9,98132.94368,64095204.93,6433450.654,289433.652,1690105.263,,13640089.49,1184026.692,5628299.282,,124312201.9,15540515.78,132010078.6,,2665653.365
C11 Trac2,69446424.17,925266647.8,173183.4091,71951707.67,6805897.592,222275.177,1905154.995,,13947813.27,1439213.202,7138459.101,,161625000.2,20750364.29,163422316,,4059195.807
P1 Trac1 no2,23570589.58,10590716.95,0,43934157.11,10509382.98,1686516.831,3331696.264,,20280760.51,1712394.229,882405.5003,,168826680.7,40874391.41,87147810.6,,3143037.938
P1 Trac1,116161001.5,617485155.4,45010.58314,120134225.4,6050775.097,0,858418.3614,,8542316.293,1294119.02,4264102.401,,98150709.92,38469368.33,208530021.1,,2238725.186
P1 Trac2,107713976.7,693935379.4,0,128852301.1,5995827.674,0,867302.4397,,8568484.978,1395818.511,5020736.221,,126031016.3,48224475.31,254565630.2,,3487702.194
P5 Trac1 no2,15886038.71,7486936.806,0,26104295.62,20474705.57,1192699.352,3957493.98,,113853159.7,1888429.147,1209802.554,,139648310.2,11034791.61,57083300.32,,2913031.406
P5 Trac1,60071090.11,608575207.9,0,62991671.43,12673101.98,406496.5708,2439077.412,,89665363.12,1396955.666,3785751.432,,87390497.18,11318253.55,141882513.3,,2310085.725
P5 Trac2,63591563.48,677242953.3,0,68519885.11,9311966.616,334178.6409,1645109.593,,87926031.97,1466195.354,4192011.634,,105584782.1,14374001.12,160689102,,3088779.884
