Sample,Cohort,datatype,Phosphoenolpyruvic_acid,L-Lactic_acid,Hexose_6-phosphate,3-Phosphoglyceric_acid,D-Glyceraldehyde_3-phosphate,Dihydroxyacetone_phosphate,"Fructose 1,6-bisphosphate",Hexose,Pyruvic_acid,Sorbitol,Fumaric_acid,Citric_acid,L-Malic_acid,Oxoglutaric_acid,Succinic_acid,cis-Aconitic_acid,Oxalacetic_acid,L-Glutamic_acid,L-Glutamine,L-Methionine,L-Phenylalanine,Glycine,L-Alanine,L-Histidine,L-Proline,L-Serine,L-Tryptophan,L-Valine,L-Arginine,L-Asparagine,L-Isoleucine,L-Threonine,L-Cysteine,L-Lysine,gamma-Aminobutyric acid,L-Aspartic_acid,L-Tyrosine,N-acetyl aspartate,Pyroglutamic acid,Taurine,Palmitic_acid,Stearic_acid,ADP,AMP,ATP,CDP,CMP,CTP,dATP,dCTP,GDP,GMP,GTP,TDP,TTP,UDP,UMP,UTP,Methionine_sulfoxide,Cysteineglutathione disulfide,Glutathione,NAD,NADH,NADP,Oxidized_glutathione,Arachidonic_acid,Itaconic_acid,Uridine_diphosphate_galactose,Uridine_diphosphate_glucuronic_acid,Uridine_diphosphate-N-acetylglucosamine,6-Phosphogluconic_acid,D-Erythrose_4-phosphate,D-Ribose_5-phosphate,D-Sedoheptulose_7-phosphate,Glycerol_3-phosphate,Acetyl-CoA,Coenzyme_A,Creatine,phosphocreatine,13C5-D5-15N Glutamic acid,D7-Glucose,Myristic acid d27
MCF000863_CC26,NT,FracCont,0.7,0.71,0.39,0.63,0.75,0.73,-0.02,0.05,0.64,0.04,0.23,0.35,0.24,0.13,0.18,0.35,0.12,0.13,0.1,0.05,0,0.2,0.41,0,0.15,0.34,-0.01,0,-0.01,0.2,0,0,0,-0.01,0.05,0.24,0,0.08,0.04,0,0.01,0,0.54,0.52,0.54,0.54,0.52,0.58,0.55,0.5,0.53,0.53,0.55,0.55,0.55,0.54,0.54,0.55,-0.01,0.04,0.1,0.45,0.45,0.46,0.1,0,0.15,0.67,0.67,0.65,0.9,-0.01,0.83,0.79,0.35,0.29,0.25,0,0,0,0,0
MCF000863_CC27,NT,FracCont,0.74,0.72,0.44,0.61,0.8,0.76,-0.02,0.05,0.67,0.04,0.23,0.35,0.24,0.13,0.18,0.35,0.14,0.13,0.1,0.04,0,0.21,0.4,0,0.13,0.37,-0.01,0,-0.01,0.18,0,0,0,-0.01,0.05,0.24,0,0.08,0.03,0,0.01,0.01,0.54,0.53,0.54,0.55,0.52,0.58,0.56,0.53,0.54,0.55,0.55,0.57,0.55,0.55,0.55,0.56,-0.01,0.04,0.1,0.46,0.46,0.47,0.1,0,0.17,0.68,0.69,0.66,0.95,0.02,0.83,0.8,0.38,0.29,0.25,0,0,0,0,0
MCF000863_CC28,NT,FracCont,0.28,0.71,0.35,0.12,0.72,0.33,-0.01,0.02,0.55,0.01,0.22,0.35,0.23,0.14,0.17,0.35,0.14,0.14,0,0.06,0,0.12,0.49,0,0.16,0.18,0,0,-0.01,0.19,0,0,0,-0.01,0.06,0.24,0,0.1,0.06,0,0.01,0.01,0.45,0.44,0.46,0.44,0.42,0.54,0.45,0.43,0.41,0.4,0.51,0.46,0.5,0.42,0.42,0.44,-0.01,0.06,0.12,0.38,0.38,0.36,0.11,0,0.15,0.64,0.51,0.51,0.63,-0.01,0.62,0.73,0.1,0.25,0.22,0,0,0,0,0
MCF000863_CC36,10uM AMA,FracCont,0.8,0.73,0.17,1,0.92,0.84,-0.02,0.14,0.37,0.04,0,0,0.01,0,0,-0.01,-0.01,0,0,0,0,0.01,0.31,0,0,0.01,-0.01,0,-0.01,0.02,0,0,0,0,0.01,0,0,-0.01,0,0,0,0,0.21,0.28,0.12,0.05,0.07,0.05,-0.01,0.09,0.24,0.03,0.02,0.41,0.55,0.27,0.32,0.22,-0.01,0,0,0.32,0.32,0.31,0,0,0.01,0.51,0.64,0.21,0.94,-0.01,0.88,0.83,0.63,0.05,0.01,0,-0.01,0,0,0
MCF000863_CC37,10uM AMA,FracCont,0.98,0.75,0.17,1,0.9,0.85,-0.02,0.09,0.35,0.05,0,0,0.01,0,0,-0.01,-0.01,0,0,0,0,0.01,0.31,0,0,0.01,-0.01,0,-0.01,0.02,0,0,0,-0.01,0,0,0,-0.01,0,0,0,0,0.23,0.22,0.19,0.06,0.06,0.2,-0.02,0.19,0.26,0.01,0.05,0.48,0.51,0.33,0.33,0.41,-0.01,0,0,0.32,0.32,0.3,0,0,0,0.51,0.59,0.21,1,0.02,0.88,0.82,0.63,0.05,0.01,0,-0.01,0,0,0
MCF000863_CC38,10uM AMA,FracCont,0.92,0.76,0.22,1,0.89,0.87,-0.02,0.12,0.37,0.05,0,0,0.01,0,0,-0.01,-0.01,0,0,0,0,0,0.3,0,0,0.01,-0.01,0,-0.01,0.02,0,0,-0.01,0,0.01,0,0,-0.01,0,0,0,0,0.23,0.24,0.22,0.06,0.07,0.27,-0.02,0.08,0.25,-0.01,0.06,0.25,0.59,0.34,0.37,0.43,-0.01,0,0,0.32,0.32,0.32,0,0,0.01,0.51,0.63,0.22,0.8,-0.01,0.88,0.83,0.62,0.06,0.02,0,-0.01,0,0,0
MCF000863_CC26,NT,Abund,46200000,3.69e+09,1.86e+08,1380000,5330000,17200000,10600000,4.57e+08,8.51e+08,1.59e+08,1.37e+09,4.2e+09,1.66e+10,8.25e+08,3.89e+09,1.34e+08,1860000,3.57e+10,3620000,2.57e+08,2.22e+09,1e+08,3.92e+08,57700000,3.34e+08,86500000,12200000,1.11e+09,14400000,19500000,2.55e+09,1e+09,19400000,23700000,11200000,9.4e+09,1.81e+09,1.5e+07,3.29e+09,4.93e+09,7.37e+09,2.47e+09,2.9e+09,2.43e+08,4.21e+09,3.94e+08,29500000,2.76e+08,3110000,1420000,2.34e+08,10200000,82700000,38400000,63300000,1.25e+09,1.09e+08,1.06e+09,24100000,5560000,1.17e+10,5.79e+08,79100000,8.4e+07,1.7e+08,36200000,55400000,6.77e+08,93900000,9.61e+08,4910000,1720000,70600000,32400000,6.08e+08,20900000,26700000,1.43e+08,8.47e+08,942000,11800000,1.05e+09
MCF000863_CC27,NT,Abund,40600000,4.1e+09,1.56e+08,1930000,6630000,28800000,9500000,4.71e+08,9.4e+08,1.7e+08,1.36e+09,3.28e+09,1.62e+10,8.52e+08,4.21e+09,1.21e+08,1690000,3.46e+10,3070000,2.72e+08,2.15e+09,97300000,3.89e+08,58400000,3.86e+08,1e+08,13400000,1.26e+09,15600000,31800000,5.39e+09,1.02e+09,22100000,26100000,11900000,9.07e+09,1.82e+09,15600000,3.64e+09,4.17e+09,7.29e+09,2.16e+09,1.53e+09,2.09e+08,5.72e+09,2.1e+08,25500000,3.53e+08,4780000,2480000,1.26e+08,11200000,1.25e+08,18200000,97900000,6.52e+08,1.24e+08,1.7e+09,23800000,8210000,1.21e+10,5.56e+08,78300000,82800000,2.11e+08,40100000,49500000,7.06e+08,90900000,9.8e+08,4120000,824000,70200000,3.6e+07,6.52e+08,21700000,2.8e+07,1.71e+08,8.79e+08,989000,12100000,1.08e+09
MCF000863_CC28,NT,Abund,19900000,3.61e+09,1.87e+08,692000,4650000,9430000,16400000,5.39e+08,8.12e+08,1.94e+08,1.01e+09,4.08e+09,1.15e+10,7.29e+08,3.2e+09,1.18e+08,2150000,3.49e+10,1.68e+09,3.11e+08,2.71e+09,1.2e+08,5.35e+08,70400000,9.76e+08,68100000,13900000,1.69e+09,14600000,88300000,6.81e+09,1.44e+09,3.1e+07,26100000,12600000,1.05e+10,2.38e+09,15500000,4.03e+09,4.31e+09,7.62e+09,2.31e+09,3.63e+09,2.34e+08,2.47e+09,4.96e+08,40200000,1.64e+08,1080000,518000,3e+08,1.2e+07,51200000,46200000,25800000,1.4e+09,93600000,4.18e+08,29700000,8230000,1.09e+10,4.18e+08,25400000,47900000,1.88e+08,43700000,53300000,96900000,3.9e+07,4.11e+08,4620000,1740000,33700000,20900000,4.21e+08,23400000,23700000,1.72e+08,1.3e+09,805000,11200000,1e+09
MCF000863_CC36,10uM AMA,Abund,1540000,4.45e+09,1.58e+08,1290000,6580000,37300000,3370000,3.56e+08,1.27e+08,1.86e+08,69200000,46800000,6.89e+08,1.02e+08,3.73e+09,3840000,637000,2.06e+10,5.19e+08,3.93e+08,1.8e+09,64700000,1.15e+08,64100000,1.14e+08,1.26e+08,12500000,1.37e+09,32900000,1880000,4.81e+09,6.93e+08,5900000,4.7e+07,390000,2.64e+08,1.66e+09,7030000,2.83e+09,1.43e+09,1.14e+10,1.98e+09,92500000,31100000,20700000,16800000,6660000,25800000,443000,170000,48600000,5430000,22700000,245000,230000,30300000,11200000,9930000,22200000,2.66e+08,3.7e+09,1.21e+08,3.5e+07,4430000,1.91e+08,80100000,3.4e+07,14500000,1180000,61400000,329000,524000,1.14e+09,6e+07,4.59e+09,541000,2540000,71600000,26900000,1270000,2.4e+07,1.19e+09
MCF000863_CC37,10uM AMA,Abund,898000,3.74e+09,1.47e+08,1020000,6270000,31900000,3270000,3.16e+08,1.17e+08,1.65e+08,68300000,32400000,5.95e+08,1.03e+08,3.47e+09,3060000,292000,2.12e+10,3.83e+08,3.78e+08,1.74e+09,65900000,1.16e+08,53300000,1.09e+08,1.19e+08,12600000,1.26e+09,28200000,1920000,4.72e+09,6.65e+08,12300000,37300000,446000,2.53e+08,1.6e+09,6320000,2.37e+09,1.42e+09,9.21e+09,5.19e+09,82100000,16300000,7500000,12600000,5240000,7740000,331000,117000,46900000,2770000,14800000,216000,196000,24900000,6580000,3540000,20600000,1.04e+08,4.25e+09,1.3e+08,32800000,4080000,1.9e+08,87300000,28100000,14300000,862000,62300000,105000,276000,1.14e+09,63400000,4.41e+09,237000,1030000,75600000,25300000,1690000,23500000,1.17e+09
MCF000863_CC38,10uM AMA,Abund,1230000,4.51e+09,1.27e+08,1310000,6320000,35700000,3360000,3.89e+08,1.2e+08,1.94e+08,71600000,30600000,6.64e+08,1.13e+08,3.66e+09,3590000,299000,2.28e+10,7.22e+08,4.43e+08,2.04e+09,72100000,1.26e+08,69500000,1.23e+08,1.32e+08,14500000,1.53e+09,35600000,1720000,5.46e+09,7.37e+08,8710000,47600000,517000,2.85e+08,1.85e+09,7130000,2.94e+09,1.72e+09,7.98e+09,3.46e+09,90800000,16200000,8530000,1.2e+07,7280000,5620000,420000,173000,51200000,2580000,13900000,159000,122000,25100000,6550000,3780000,24500000,2.02e+08,4.01e+09,1.38e+08,38400000,5200000,2.84e+08,82700000,30900000,13300000,543000,69700000,288000,157000,1.29e+09,7.7e+07,4.84e+09,507000,546000,85500000,27100000,2060000,23100000,1.24e+09
