Sample,Glucose,L-Lactic acid,Oxoglutaric acid,Glycine,L-Glutamine,L-Serine,L-Alanine,L-Glutamic acid
B02L_T0,0.98,0.25,-0.01,-0.01,0,-0.01,0.01,-0.01
B02L_T60,0.88,0.36,0.01,-0.01,0,0.03,0.15,0
B02L_T120,0.8,0.48,0.04,0,0,0.1,0.36,0.02
B02L_T180,0.72,0.53,0.07,0.02,0,0.14,0.44,0.05
B02L_T240,0.71,0.55,0.08,0.04,0,0.14,0.48,0.07
B02R_T0,0.98,0.27,-0.01,-0.01,0,-0.01,0.03,-0.01
B02R_T60,0.92,0.33,0,-0.01,0,0.01,0.11,0
B02R_T120,0.85,0.47,0.02,0,0,0.08,0.31,0.01
B02R_T180,0.8,0.53,0.06,0.01,0,0.12,0.41,0.04
B02R_T240,0.78,0.57,0.08,0.02,0,0.14,0.47,0.07
B03L_T0,0.98,0.27,-0.01,-0.01,0,-0.01,0,-0.01
B03L_T60,0.7,0.38,0.05,0.01,0,0.07,0.16,0.04
B03L_T120,0.59,0.45,0.1,0.03,0,0.11,0.34,0.04
B03L_T180,0.54,0.46,0.14,0.05,0,0.15,0.37,0.06
B03L_T240,0.51,0.44,0.16,0.07,0.01,0.17,0.37,0.07
B03R_T0,0.99,0.47,-0.01,-0.01,0,-0.01,0.04,-0.01
B03R_T60,0.71,0.43,0.08,0.02,0,0.1,0.27,0.05
B03R_T120,0.62,0.47,0.09,0.04,0.01,0.12,0.34,0.05
B03R_T180,0.6,0.49,0.12,0.06,0,0.14,0.41,0.06
B03R_T240,0.58,0.5,0.14,0.07,0.01,0.16,0.43,0.08
B04L_T0,0.98,0.24,-0.01,-0.01,0,-0.02,-0.01,-0.01
B04L_T60,0.75,0.39,0.07,0.02,0,0.1,0.3,0.05
B04L_T120,0.65,0.48,0.08,0.04,0,0.16,0.43,0.04
B04L_T180,0.6,0.49,0.17,0.07,0.01,0.21,0.45,0.07
B04L_T240,0.58,0.5,0.25,0.1,0.03,0.25,0.45,0.13
B04R_T0,0.98,0.35,-0.01,-0.01,0,-0.01,0.02,-0.01
B04R_T60,0.72,0.46,0.1,0.02,0.01,0.13,0.35,0.07
B04R_T120,0.59,0.48,0.14,0.05,0.02,0.17,0.41,0.08
B04R_T180,0.58,0.48,0.17,0.07,0.01,0.18,0.43,0.09
B04R_T240,0.59,0.49,0.18,0.08,0.01,0.19,0.45,0.11
B05L_T0,0.98,0.29,-0.01,-0.01,0,-0.01,0,-0.01
B05L_T60,0.75,0.29,0.03,0,0,0.06,0.15,0.03
B05L_T120,0.64,0.47,0.07,0.05,0.01,0.14,0.38,0.05
B05L_T180,0.58,0.49,0.1,0.08,0.01,0.18,0.43,0.06
B05L_T240,0.56,0.48,0.13,0.09,0.01,0.19,0.44,0.08
B05R_T0,0.99,0.49,-0.01,-0.01,0,-0.01,0.07,-0.01
B05R_T60,0.78,0.51,0.1,0.03,0.01,0.13,0.43,0.06
B05R_T120,0.7,0.55,0.12,0.06,0.03,0.16,0.48,0.09
B05R_T180,0.69,0.56,0.14,0.07,0.02,0.17,0.52,0.1
B05R_T240,0.71,0.57,0.15,0.08,0.02,0.17,0.54,0.11
B06L_T0,0.99,0.27,-0.01,-0.01,0,-0.01,0.02,-0.01
B06L_T60,0.9,0.4,0.04,0,0,0.07,0.31,0.01
B06L_T120,0.84,0.51,0.07,0.02,0,0.11,0.44,0.05
B06L_T180,0.8,0.56,0.09,0.03,0,0.12,0.5,0.07
B06L_T240,0.79,0.59,0.11,0.05,0,0.13,0.56,0.09
B06R_T0,0.99,0.3,-0.01,-0.01,0,-0.02,0.06,-0.01
B06R_T60,0.76,0.45,0.08,0.02,0,0.11,0.35,0.05
B06R_T120,0.67,0.49,0.11,0.05,0.01,0.14,0.39,0.08
B06R_T180,0.65,0.53,0.16,0.07,0.01,0.17,0.47,0.12
B06R_T240,0.68,0.54,0.2,0.09,0.01,0.18,0.5,0.14
