Sample,01_Glycolysis,L-Lactic acid,Pyruvic acid,02_Krebs Cycle,Citric acid,Oxoglutaric acid,Succinic acid,03_Amino Acids,L-Alanine,L-Asparagine,L-Glutamic acid,L-Glutamine,L-Aspartic acid
Sample01,,5.22%,1.54%,,1.62%,0.00%,2.59%,,4.21%,-0.30%,1.83%,2.11%,1.04%
Sample02,,16.20%,8.20%,,8.47%,0.00%,9.41%,,10.52%,-0.32%,6.77%,7.07%,5.57%
Sample03,,4.19%,1.57%,,2.53%,0.00%,2.88%,,3.40%,-0.29%,1.94%,2.33%,0.82%
Sample04,,12.43%,6.84%,,6.97%,0.00%,8.02%,,10.21%,-0.30%,6.23%,6.44%,4.63%
Sample05,,4.88%,1.70%,,3.09%,0.00%,3.69%,,3.59%,-0.30%,2.14%,2.39%,1.34%
Sample06,,7.58%,3.18%,,2.73%,0.00%,3.84%,,5.91%,-0.36%,2.21%,2.51%,1.42%
Sample07,,13.21%,5.74%,,7.27%,0.00%,7.96%,,9.40%,-0.26%,5.91%,6.49%,5.19%
Sample08,,8.55%,2.64%,,3.55%,0.00%,5.16%,,6.38%,-0.34%,2.89%,3.14%,2.75%
Sample09,,14.89%,7.33%,,10.31%,0.00%,10.76%,,11.17%,-0.40%,8.25%,7.78%,8.05%
Sample10,,11.76%,6.25%,,8.91%,0.00%,8.86%,,7.97%,-0.42%,6.69%,7.00%,3.56%
