Sample,Cohort,datatype,L-Lactic acid,Pyruvic acid,Citric acid,Oxoglutaric acid,Succinic acid,L-Alanine,L-Asparagine,L-Glutamic acid,L-Glutamine,L-Aspartic acid
Sample01,Sham,FracCont,0.052199999999999996,0.0154,0.0162,0,0.0259,0.0421,0.0012,0.0183,0.0211,0.0104
Sample02,CLP,FracCont,0.162,0.082,0.0847,0,0.0941,0.1052,0.001,0.0677,0.0707,0.0557
Sample03,Sham,FracCont,0.04190000000000001,0.0157,0.0253,0,0.0288,0.034,0.0013,0.0194,0.0233,0.0082
Sample04,CLP,FracCont,0.1243,0.0684,0.0697,0,0.0802,0.1021,0.0012,0.0623,0.0644,0.0463
Sample05,Sham,FracCont,0.048799999999999996,0.017,0.0309,0,0.0369,0.0359,0.0012,0.0214,0.0239,0.0134
Sample06,Sham,FracCont,0.0758,0.0318,0.0273,0,0.0384,0.0591,6e-04,0.0221,0.0251,0.0142
Sample07,CLP,FracCont,0.1321,0.0574,0.0727,0,0.0796,0.094,0.0016,0.0591,0.0649,0.0519
Sample08,Sham,FracCont,0.0855,0.0264,0.0355,0,0.0516,0.0638,0.000799999999999999,0.0289,0.0314,0.0275
Sample09,CLP,FracCont,0.1489,0.0733,0.1031,0,0.1076,0.1117,2e-04,0.0825,0.0778,0.0805
Sample10,CLP,FracCont,0.1176,0.0625,0.0891,0,0.0886,0.0797,0,0.0669,0.07,0.0356
Sample01,Sham,Abund,1130000000,27500000,7.38e+08,12500000,65400000,390000,55900,15900000,1310000,7610000
Sample02,CLP,Abund,1050000000,55600000,5.84e+08,14400000,65300000,482000,109000,34500000,2540000,18200000
Sample03,Sham,Abund,832000000,51500000,4.27e+08,12400000,53600000,293000,163000,34100000,2410000,16500000
Sample04,CLP,Abund,1110000000,1.01e+08,8.5e+08,17800000,66400000,593000,320000,67500000,4630000,3.4e+07
Sample05,Sham,Abund,0,0,0,0,0,0,0,0,0,0
Sample06,Sham,Abund,49200000000,5.47e+08,8.58e+09,2.5e+08,6.38e+08,8.9e+07,26200000,3.01e+08,4.77e+08,2.21e+08
Sample07,CLP,Abund,30800000000,2.49e+08,2.02e+09,1.77e+08,2.88e+08,1.03e+08,33700000,3.56e+08,4.06e+08,5.5e+08
Sample08,Sham,Abund,58600000000,1.43e+09,2.99e+09,2.23e+08,1.57e+08,60200000,29700000,1.36e+08,6.54e+08,73600000
Sample09,CLP,Abund,69500000000,4.32e+08,4.54e+09,3.16e+08,1.43e+09,1.69e+08,5340000,3.54e+08,3.93e+08,3.28e+08
Sample10,CLP,Abund,37500000000,1.28e+09,2.57e+09,2.16e+08,1.12e+08,36600000,15300000,70800000,5.01e+08,26100000
