Sample,01_Glycolysis,L-Lactic acid_PARENT,L-Lactic acid_C13-label-1,L-Lactic acid_C13-label-2,L-Lactic acid_C13-label-3,Pyruvic acid_PARENT,Pyruvic acid_C13-label-1,Pyruvic acid_C13-label-2,Pyruvic acid_C13-label-3,02_Krebs Cycle,Citric acid_PARENT,Citric acid_C13-label-1,Citric acid_C13-label-2,Citric acid_C13-label-3,Citric acid_C13-label-4,Citric acid_C13-label-5,Citric acid_C13-label-6,Fumaric acid_PARENT,Fumaric acid_C13-label-1,Fumaric acid_C13-label-2,Fumaric acid_C13-label-3,Fumaric acid_C13-label-4,L-Malic acid_PARENT,L-Malic acid_C13-label-1,L-Malic acid_C13-label-2,L-Malic acid_C13-label-3,L-Malic acid_C13-label-4,Oxoglutaric acid_PARENT,Oxoglutaric acid_C13-label-1,Oxoglutaric acid_C13-label-2,Oxoglutaric acid_C13-label-3,Oxoglutaric acid_C13-label-4,Oxoglutaric acid_C13-label-5,Succinic acid_PARENT,Succinic acid_C13-label-1,Succinic acid_C13-label-2,Succinic acid_C13-label-3,Succinic acid_C13-label-4,Oxalacetic acid_PARENT,Oxalacetic acid_C13-label-1,Oxalacetic acid_C13-label-2,Oxalacetic acid_C13-label-3,Oxalacetic acid_C13-label-4,03_Amino Acids,L-Alanine_PARENT,L-Alanine_C13-label-1,L-Alanine_C13-label-2,L-Alanine_C13-label-3,L-Asparagine_PARENT,L-Asparagine_C13-label-1,L-Asparagine_C13-label-2,L-Asparagine_C13-label-3,L-Asparagine_C13-label-4,L-Glutamic acid_PARENT,L-Glutamic acid_C13-label-1,L-Glutamic acid_C13-label-2,L-Glutamic acid_C13-label-3,L-Glutamic acid_C13-label-4,L-Glutamic acid_C13-label-5,L-Glutamine_PARENT,L-Glutamine_C13-label-1,L-Glutamine_C13-label-2,L-Glutamine_C13-label-3,L-Glutamine_C13-label-4,L-Glutamine_C13-label-5,L-Aspartic acid_PARENT,L-Aspartic acid_C13-label-1,L-Aspartic acid_C13-label-2,L-Aspartic acid_C13-label-3,L-Aspartic acid_C13-label-4
Sample01,,92.37%,2.89%,1.45%,3.28%,97.72%,0.99%,0.25%,1.05%,,92.47%,5.72%,1.44%,0.36%,0.02%,-0.01%,0.00%,97.15%,2.33%,-0.04%,0.56%,0.00%,93.11%,5.48%,0.96%,0.40%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,92.21%,5.78%,1.47%,0.48%,0.05%,104.86%,-4.86%,0.00%,0.00%,0.00%,,93.88%,2.27%,1.20%,2.65%,101.21%,-1.21%,0.00%,0.00%,0.00%,94.11%,3.72%,1.38%,0.54%,0.14%,0.10%,93.56%,3.72%,1.78%,0.63%,0.20%,0.11%,96.78%,2.68%,0.19%,0.31%,0.04%
Sample02,,73.80%,11.39%,7.22%,7.59%,86.43%,6.23%,3.66%,3.68%,,66.42%,20.34%,9.60%,3.29%,0.34%,0.01%,-0.01%,98.97%,0.85%,-0.31%,0.50%,0.00%,73.93%,17.10%,6.84%,1.92%,0.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,74.07%,16.41%,7.56%,1.76%,0.20%,81.45%,18.55%,0.00%,0.00%,0.00%,,83.65%,6.61%,4.25%,5.48%,101.28%,-1.28%,0.00%,0.00%,0.00%,78.46%,12.09%,6.95%,2.24%,0.20%,0.07%,78.68%,11.00%,7.25%,2.57%,0.36%,0.15%,84.35%,10.51%,3.77%,1.24%,0.12%
Sample03,,93.73%,2.54%,1.15%,2.58%,97.70%,0.98%,0.23%,1.09%,,88.76%,8.05%,2.50%,0.64%,0.07%,-0.01%,0.00%,98.10%,1.45%,-0.09%,0.54%,0.00%,91.95%,6.36%,1.19%,0.44%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,91.33%,6.46%,1.65%,0.50%,0.06%,104.86%,-4.86%,0.00%,0.00%,0.00%,,94.94%,2.00%,0.99%,2.07%,101.17%,-1.17%,0.00%,0.00%,0.00%,93.77%,3.92%,1.50%,0.56%,0.16%,0.10%,92.87%,4.11%,1.98%,0.70%,0.23%,0.12%,97.36%,2.31%,0.03%,0.29%,0.01%
Sample04,,80.45%,8.24%,4.89%,6.43%,89.50%,4.29%,2.41%,3.80%,,72.16%,16.93%,8.20%,2.38%,0.28%,0.06%,-0.01%,98.53%,1.11%,-0.21%,0.57%,0.00%,77.07%,15.49%,5.80%,1.47%,0.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,77.43%,14.78%,6.26%,1.38%,0.16%,104.86%,-4.86%,0.00%,0.00%,0.00%,,84.66%,5.84%,3.71%,5.78%,101.21%,-1.21%,0.00%,0.00%,0.00%,80.17%,11.07%,6.52%,1.96%,0.21%,0.07%,80.35%,10.33%,6.63%,2.26%,0.32%,0.11%,86.64%,9.23%,3.17%,0.89%,0.07%
Sample05,,92.46%,3.13%,1.71%,2.69%,97.36%,1.17%,0.47%,1.00%,,87.02%,8.94%,2.78%,1.05%,0.16%,0.06%,0.00%,97.67%,1.90%,-0.09%,0.52%,0.00%,90.70%,6.66%,1.94%,0.67%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,89.56%,7.03%,2.53%,0.85%,0.03%,104.86%,-4.86%,0.00%,0.00%,0.00%,,94.51%,2.24%,1.22%,2.03%,101.18%,-1.18%,0.00%,0.00%,0.00%,93.04%,4.35%,1.74%,0.69%,0.11%,0.06%,92.56%,4.37%,2.01%,0.76%,0.18%,0.10%,96.02%,3.07%,0.49%,0.40%,0.03%
Sample06,,88.11%,4.93%,3.05%,3.91%,94.91%,2.23%,1.28%,1.58%,,87.83%,8.76%,2.60%,0.78%,0.05%,-0.02%,0.00%,97.02%,2.11%,0.13%,0.74%,0.00%,90.08%,7.02%,2.07%,0.76%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,89.17%,7.29%,2.62%,0.87%,0.05%,104.86%,-4.86%,0.00%,0.00%,0.00%,,90.74%,3.81%,2.41%,3.03%,101.46%,-1.46%,0.00%,0.00%,0.00%,92.87%,4.42%,1.81%,0.69%,0.14%,0.08%,92.23%,4.48%,2.21%,0.80%,0.20%,0.10%,95.81%,3.21%,0.50%,0.46%,0.02%
Sample07,,77.92%,10.40%,5.80%,5.87%,89.65%,5.63%,2.53%,2.18%,,70.40%,18.79%,7.81%,2.77%,0.23%,0.00%,-0.01%,98.54%,0.93%,-0.09%,0.62%,0.00%,76.43%,16.16%,5.66%,1.60%,0.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,77.72%,14.48%,6.18%,1.45%,0.16%,79.28%,20.72%,0.00%,0.00%,0.00%,,85.38%,6.07%,3.51%,5.04%,101.02%,-1.02%,0.00%,0.00%,0.00%,80.93%,11.01%,5.94%,1.89%,0.16%,0.07%,80.27%,10.42%,6.55%,2.26%,0.35%,0.15%,85.13%,10.34%,3.26%,1.16%,0.10%
Sample08,,87.32%,4.63%,3.14%,4.92%,95.74%,1.91%,1.06%,1.30%,,84.86%,10.38%,3.43%,1.26%,0.06%,0.02%,0.00%,96.03%,2.66%,0.35%,0.96%,0.00%,86.98%,8.55%,3.22%,1.18%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,86.08%,8.67%,3.86%,1.33%,0.07%,104.86%,-4.86%,0.00%,0.00%,0.00%,,90.61%,3.37%,2.31%,3.71%,101.38%,-1.38%,0.00%,0.00%,0.00%,90.96%,5.21%,2.62%,0.95%,0.16%,0.10%,90.72%,5.01%,2.77%,1.06%,0.27%,0.17%,92.35%,5.21%,1.58%,0.83%,0.04%
Sample09,,77.28%,9.24%,5.02%,8.46%,87.26%,6.78%,2.66%,3.30%,,62.62%,19.59%,12.00%,5.00%,0.72%,0.10%,-0.02%,99.49%,0.70%,-0.45%,0.25%,0.00%,70.72%,18.22%,8.04%,2.66%,0.36%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,71.70%,16.71%,8.80%,2.43%,0.35%,77.30%,22.70%,0.00%,0.00%,0.00%,,83.46%,6.30%,3.48%,6.75%,101.59%,-1.59%,0.00%,0.00%,0.00%,75.11%,12.24%,9.42%,2.87%,0.30%,0.08%,77.18%,10.63%,8.82%,2.95%,0.35%,0.08%,78.20%,13.80%,5.85%,1.92%,0.23%
Sample10,,82.05%,7.04%,4.51%,6.40%,90.31%,4.10%,2.11%,3.47%,,66.37%,19.27%,9.73%,3.92%,0.60%,0.09%,0.03%,100.13%,0.14%,-0.53%,0.27%,0.00%,75.06%,16.26%,6.56%,1.88%,0.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,75.55%,15.50%,7.09%,1.65%,0.21%,80.17%,19.83%,0.00%,0.00%,0.00%,,88.44%,4.04%,2.69%,4.83%,101.67%,-1.67%,0.00%,0.00%,0.00%,79.28%,11.08%,6.92%,2.42%,0.21%,0.08%,79.18%,10.38%,7.28%,2.72%,0.32%,0.13%,89.95%,6.91%,2.18%,0.88%,0.09%
